date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-19,На МКС в очередной раз отключилась система получения кислорода,1,0,trend,up,world,0,62,6,очередной раз отключиться система получение кислород,AFKS
2021-01-19,На МКС в очередной раз отключилась система получения кислорода,1,0,trend,up,world,0,62,6,очередной раз отключиться система получение кислород,AFKS
2021-05-17,В РФ до конца года заработает общая система с данными из разных реестров и баз,1,1,"trend,volatility",up_vol,russia,0,78,9,конец год заработать общий система данные разный реестр база,AFKS
2021-05-17,В РФ до конца года заработает общая система с данными из разных реестров и баз,1,1,"trend,volatility",up_vol,russia,0,78,9,конец год заработать общий система данные разный реестр база,AFKS
2021-07-30,Московская система онлайн-голосования была атакована при тестировании,-1,1,"trend,volatility",down_vol,moscow,0,69,5,московский система онлайн-голосование атаковать тестирование,AFKS
2021-08-17,"АФК ""Система"" и структуры Дерипаски обсуждают раздел долей в Natura Siberica",-1,1,"trend,volatility",down_vol,business,0,76,5,система структура обсуждать раздел доля,AFKS
2021-08-17,"АФК ""Система"" и структуры Дерипаски обсуждают раздел долей в Natura Siberica",-1,1,"trend,volatility",down_vol,business,0,76,5,система структура обсуждать раздел доля,AFKS
2021-08-17,"АФК ""Система"" и структуры Дерипаски обсуждают раздел долей в Natura Siberica",-1,1,"trend,volatility",down_vol,business,0,76,5,система структура обсуждать раздел доля,AFKS
2021-09-17,Московская система онлайн-голосования в субботу подверглась 4 DDos-атакам,0,0,trend,neutral,russia,0,73,5,московский система онлайн-голосование суббота подвергнуться,AFKS
2021-09-20,"Венедиктов заявил, что система электронного голосования Москвы выдержала все атаки",-1,1,"trend,volatility",down_vol,russia,0,82,6,заявить система электронный голосование выдержать атака,AFKS
2021-09-20,"Венедиктов заявил, что система электронного голосования Москвы выдержала все атаки",-1,1,"trend,volatility",down_vol,russia,0,82,6,заявить система электронный голосование выдержать атака,AFKS
2021-12-27,"Песков отметил, что созданная РФПИ инвестиционная система выгодна для государства",1,1,"trend,volatility",up_vol,russia,0,81,6,отметить создать инвестиционный система выгодный государство,AFKS
2021-12-27,"Песков отметил, что созданная РФПИ инвестиционная система выгодна для государства",1,1,"trend,volatility",up_vol,russia,0,81,6,отметить создать инвестиционный система выгодный государство,AFKS
2021-12-27,"Песков отметил, что созданная РФПИ инвестиционная система выгодна для государства",1,1,"trend,volatility",up_vol,russia,0,81,6,отметить создать инвестиционный система выгодный государство,AFKS
2022-02-18,"Глава британского МИД заявила, что миру нужна новая система коллективной безопасности",-1,1,"trend,volatility",down_vol,world,0,85,9,глава британский заявить мир нужный новый система коллективный безопасность,AFKS
2022-03-24,"Эффективная доля владения АФК ""Система"" в МТС опустилась ниже 50%",-1,0,trend,down,business,0,65,6,эффективный доля владение система опуститься низкий,AFKS
2022-03-24,"Эффективная доля владения АФК ""Система"" в МТС опустилась ниже 50%",-1,0,trend,down,business,0,65,6,эффективный доля владение система опуститься низкий,AFKS
2022-07-08,"Платежная система ""Мир"" стала новым титульным спонсором РПЛ",1,0,trend,up,https:,0,59,7,платежный система мир стать новый титульный спонсор,AFKS
2022-07-11,"""Система"" разрешила себе замораживать выплаты ""санкционным"" акционерам",-1,0,trend,down,business,0,70,6,система разрешить замораживать выплата санкционный акционер,AFKS
2022-07-11,"Совет директоров АФК ""Система"" рекомендовал не платить дивиденды за 2021 год",-1,0,trend,down,business,1,76,7,директор система рекомендовать платить дивиденд 2021 год,AFKS
2022-07-11,"CEO АФК ""Система"" назначен управляющий партнер корпорации Ситдеков",-1,0,trend,down,business,0,66,5,система назначить управлять партнер корпорация,AFKS
2022-07-11,"""Система"" разрешила себе замораживать выплаты ""санкционным"" акционерам",-1,0,trend,down,business,0,70,6,система разрешить замораживать выплата санкционный акционер,AFKS
2022-07-11,"Совет директоров АФК ""Система"" рекомендовал не платить дивиденды за 2021 год",-1,0,trend,down,business,1,76,7,директор система рекомендовать платить дивиденд 2021 год,AFKS
