date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-05-25,"""Аэрофлот"" в 2021 году получит девять Airbus A320neo и пять A350",-1,0,trend,down,business,AFLT
2021-08-02,"""Аэрофлот"" сократил квартальный убыток по РСБУ на 95%",-1,1,"trend,volatility",down_vol,business,AFLT
2021-08-02,"""Аэрофлот"" сократил квартальный убыток по РСБУ на 95%",-1,1,"trend,volatility",down_vol,business,AFLT
2021-08-19,"""Аэрофлот"" снизил на 25% цену субсидированных билетов для дальневосточников",1,1,volatility,up_vol,russia,AFLT
2021-09-07,"""Аэрофлот"" не будет выплачивать дивиденды за 2021 год",-1,0,none,down,business,AFLT
2022-01-06,"""Аэрофлот"" отменил рейсы в Казахстан до 8 января",-1,0,trend,down,russia,AFLT
2022-07-05,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,none,up,business,AFLT
2022-07-05,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,none,up,business,AFLT
2022-07-06,"Суд признал виновным замглавы ""Аэрофлота"" Александрова в хищении 250 млн руб.",-1,1,volatility,down_vol,russia,AFLT
2022-07-05,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,none,up,business,AFLT
2022-07-06,"Суд признал виновным замглавы ""Аэрофлота"" Александрова в хищении 250 млн руб.",-1,1,volatility,down_vol,russia,AFLT
2022-07-06,"Суд признал виновным замглавы ""Аэрофлота"" Александрова в хищении 250 млн руб.",-1,1,volatility,down_vol,russia,AFLT
2022-09-08,"""Аэрофлот"" заявил о планах внести в зимнее расписание рейсы на курорты Египта и Гоа",1,1,volatility,up_vol,russia,AFLT
2022-09-08,"""Аэрофлот"" обновит стратегию развития",1,1,volatility,up_vol,business,AFLT
2022-12-30,"""Аэрофлот"" выкупил у ирландского лизингодателя 10 дальнемагистральных Boeing 777",1,0,none,up,business,AFLT
2023-01-31,"Группа ""Аэрофлот"" получит 11,6 млрд руб. на поддержку внутренних рейсов в зимнем сезоне",-1,0,none,down,business,AFLT
2023-07-26,"""Аэрофлот"" сообщил о росте перевозок по ""плоскому"" тарифу в города ДФО и Калининград",1,0,none,up,business,AFLT
2023-07-26,"""Аэрофлот"" сообщил о росте перевозок по ""плоскому"" тарифу в города ДФО и Калининград",1,0,none,up,business,AFLT
2023-10-12,"""Аэрофлот"" в зимнем расписании будет летать по 86 зарубежным направлениям",1,1,"trend,volatility",up_vol,russia,AFLT
2023-10-31,"Чистый убыток ""Аэрофлота"" по РСБУ в III квартале сократился на 42% г/г",1,0,none,up,business,AFLT
2023-12-13,"""Аэрофлот"" компенсирует клиентам траты на аннулированные билеты на Пхукет",1,0,none,up,russia,AFLT
2024-02-12,"""Аэрофлот"" продолжит страховое урегулирование по иностранным бортам при наличии средств",-1,0,trend,down,business,AFLT
2024-02-12,"Совет директоров ""Аэрофлота"" утвердил программу облигаций объемом 86,92 млрд руб.",-1,0,trend,down,business,AFLT
2024-03-14,"Рынок акций РФ просел ниже 3300 п. по индексу МосБиржи во главе с ""Аэрофлотом""",0,0,trend,neutral,business,AFLT
2024-07-24,"""Аэрофлот"" задерживает рейс Каир - Москва почти на шесть часов в ожидании разрешения на вылет",0,0,none,neutral,russia,AFLT
2024-09-05,"""Аврора"" готова обсуждать предложенный ""Аэрофлотом"" ""мокрый"" лизинг Superjet 100",1,0,none,up,Eef2024,AFLT
2025-01-24,"Летевший из Стамбула в Москву самолет ""Аэрофлота"" экстренно сел в Астрахани",0,0,none,neutral,russia,AFLT
2025-02-17,"""Аэрофлот"" планирует расширить компетенции в ремонте двигателей Airbus A320 и Boeing",0,0,none,neutral,business,AFLT
2025-02-17,"""Аэрофлот"" планирует расширить компетенции в ремонте двигателей Airbus A320 и Boeing",0,0,none,neutral,business,AFLT
2025-02-17,"""Аэрофлот"" планирует расширить компетенции в ремонте двигателей Airbus A320 и Boeing",0,0,none,neutral,business,AFLT
