date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-10-11,"Путин обсудил с Меркель и Макроном возможность проведения ""нормандского"" саммита",0,0,trend,neutral,world,0,80,5,обсудить возможность проведение нормандский саммит,AKRN
2021-10-11,"Путин обсудил с Меркель и Макроном возможность проведения ""нормандского"" саммита",0,0,trend,neutral,world,0,80,5,обсудить возможность проведение нормандский саммит,AKRN
2021-12-03,Макрон сообщил о планах ряда европейских стран открыть общее посольство в Кабуле,1,0,trend,up,world,0,80,8,сообщить план ряд европейский страна открыть общий посольство,AKRN
2021-12-13,Телемост с участием Путина и Макрона запланирован на следующую неделю,0,0,trend,neutral,russia,0,69,5,телемост участие запланировать следующий неделя,AKRN
2021-12-13,Телемост с участием Путина и Макрона запланирован на следующую неделю,0,0,trend,neutral,russia,0,69,5,телемост участие запланировать следующий неделя,AKRN
2022-01-04,Резкое высказывание Макрона о непривитых французах вновь вызвало скандал,-1,0,trend,down,world,0,72,7,резкий высказывание непривитый француз вновь вызвать скандал,AKRN
2022-01-10,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,1,"trend,volatility",up_vol,business,0,63,5,россеть проиграть суд млн рубль,AKRN
2022-01-10,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,1,"trend,volatility",up_vol,business,0,63,5,россеть проиграть суд млн рубль,AKRN
2022-01-10,"""Россети Северо-Запад"" проиграли ""Акрону"" суд на 145 млн рублей",1,1,"trend,volatility",up_vol,business,0,63,5,россеть проиграть суд млн рубль,AKRN
2022-01-31,Макрон призвал президента Ирана ускорить переговоры по атому,1,1,"trend,volatility",up_vol,world,0,60,5,призвать президент ускорить переговоры атом,AKRN
2022-01-31,Макрон призвал президента Ирана ускорить переговоры по атому,1,1,"trend,volatility",up_vol,world,0,60,5,призвать президент ускорить переговоры атом,AKRN
2022-02-02,Зеленский обсудил с Макроном дальнейшие шаги по поддержанию устойчивости Украины,1,1,"trend,volatility",up_vol,world,0,80,5,обсудить дальнейший шаг поддержание устойчивость,AKRN
2022-02-02,Путин и Макрон обсудили ситуацию вокруг Украины и гарантии безопасности РФ,1,1,"trend,volatility",up_vol,russia,0,74,4,обсудить ситуация гарантия безопасность,AKRN
2022-02-02,Зеленский обсудил с Макроном дальнейшие шаги по поддержанию устойчивости Украины,1,1,"trend,volatility",up_vol,world,0,80,5,обсудить дальнейший шаг поддержание устойчивость,AKRN
2022-02-02,Путин и Макрон обсудили ситуацию вокруг Украины и гарантии безопасности РФ,1,1,"trend,volatility",up_vol,russia,0,74,4,обсудить ситуация гарантия безопасность,AKRN
2022-02-04,Столтенберг сообщил о разговоре с Макроном по ситуации вокруг Украины,1,1,"trend,volatility",up_vol,world,0,69,3,сообщить разговор ситуация,AKRN
2022-02-07,Макрон увидел цель своего визита в Москву в деэскалации ситуации вокруг Украины,-1,0,trend,down,world,0,79,5,увидеть цель визит деэскалация ситуация,AKRN
2022-02-07,Владимир Путин и Эммануэль Макрон завершили переговоры в Кремле,-1,0,trend,down,russia,0,63,2,завершить переговоры,AKRN
2022-02-07,"Песков сообщил, что переговоры Путина и Макрона идут без ограничений по времени",-1,0,trend,down,russia,0,79,5,сообщить переговоры идти ограничение время,AKRN
2022-02-07,Рубль укрепился к доллару и евро на ожиданиях от переговоров Путина и Макрона,-1,0,trend,down,business,0,77,5,укрепиться доллар евро ожидание переговоры,AKRN
2022-02-07,Путин и Макрон начали переговоры,-1,0,trend,down,russia,0,32,2,начать переговоры,AKRN
2022-02-07,"Макрон заявил перед переговорами с Путиным, что не верит в ""спонтанные чудеса""",-1,0,trend,down,world,0,78,5,заявить переговоры верить спонтанный чудо,AKRN
2022-02-07,Макрон увидел цель своего визита в Москву в деэскалации ситуации вокруг Украины,-1,0,trend,down,world,0,79,5,увидеть цель визит деэскалация ситуация,AKRN
2022-02-07,Владимир Путин и Эммануэль Макрон завершили переговоры в Кремле,-1,0,trend,down,russia,0,63,2,завершить переговоры,AKRN
2022-02-07,"Песков сообщил, что переговоры Путина и Макрона идут без ограничений по времени",-1,0,trend,down,russia,0,79,5,сообщить переговоры идти ограничение время,AKRN
2022-02-07,Рубль укрепился к доллару и евро на ожиданиях от переговоров Путина и Макрона,-1,0,trend,down,business,0,77,5,укрепиться доллар евро ожидание переговоры,AKRN
2022-02-07,Путин и Макрон начали переговоры,-1,0,trend,down,russia,0,32,2,начать переговоры,AKRN
2022-02-07,"Макрон заявил перед переговорами с Путиным, что не верит в ""спонтанные чудеса""",-1,0,trend,down,world,0,78,5,заявить переговоры верить спонтанный чудо,AKRN
