date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-08,Сенатор США призвал соцсети сберечь улики для расследования беспорядков в Капитолии,0.0,0.0,trend,neutral,world,0.0,83,7,сенатор призвать соцсеть сберечь улика расследование беспорядок,SBER
2021-01-20,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1.0,0.0,trend,down,russia,0.0,69,6,начать использовать биометрия подтверждение ряд операция,SBER
2021-01-20,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1.0,0.0,trend,down,russia,0.0,69,6,начать использовать биометрия подтверждение ряд операция,SBER
2021-01-27,Сбербанк попытается создать конкурента Wildberries и Ozon на базе goods.ru. Обзор,0.0,0.0,trend,neutral,business,0.0,81,5,попытаться создать конкурент база обзор,SBER
2021-02-01,ЦБ перечислит в бюджет 200 млрд рублей от продажи Сбербанка до 1 апреля,0.0,0.0,trend,neutral,russia,0.0,71,7,перечислить бюджет млрд рубль продажа 1 апрель,SBER
2021-03-15,"Сбербанк продлил прием заявок от желающих купить ""Евроцемент""",0.0,0.0,trend,neutral,russia,0.0,61,5,продлить прием заявка желать купить,SBER
2021-03-15,"Сбербанк продлил прием заявок от желающих купить ""Евроцемент""",0.0,0.0,trend,neutral,russia,0.0,61,5,продлить прием заявка желать купить,SBER
2021-03-16,Сбербанк учредил компанию для разработки софта под механизм tax free,-1.0,0.0,trend,down,business,0.0,68,5,учредить компания разработка софт механизм,SBER
2021-04-05,"Суд удовлетворил иск Сбербанка к заводу ""Евроцемента"" на 5,4 млрд рублей",-1.0,0.0,trend,down,russia,0.0,72,7,суд удовлетворить иск завод евроцемент млрд рубль,SBER
2021-04-27,"ВЭБ, Сбербанк, ГПБ и ""Открытие"" предоставят €3,1 млрд для ""Арктик СПГ 2""",-1.0,0.0,trend,down,business,0.0,72,3,открытие предоставить млрд,SBER
2021-05-05,"Сбербанк с 7 мая повысит ставки по ипотеке на 0,4 процентного пункта",1.0,0.0,trend,up,business,0.0,68,7,7 май повысить ставка ипотека процентный пункт,SBER
2021-05-05,"Сбербанк с 7 мая повысит ставки по ипотеке на 0,4 процентного пункта",1.0,0.0,trend,up,business,0.0,68,7,7 май повысить ставка ипотека процентный пункт,SBER
