date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-04-19,АЛРОСА выставит на аукцион Christie's бриллиант массой свыше 100 карат,0,0,trend,neutral,world,0,70,5,выставить аукцион бриллиант масса карат,ALRS
2021-06-21,"Сотрудница АЛРОСА, укравшая алмазы на 700 млн рублей, получила 9 лет",0,0,trend,neutral,russia,0,68,7,сотрудница украсть алмаз млн рубль получить год,ALRS
2021-06-21,"Сотрудница АЛРОСА, укравшая алмазы на 700 млн рублей, получила 9 лет",0,0,trend,neutral,russia,0,68,7,сотрудница украсть алмаз млн рубль получить год,ALRS
2022-12-07,"Источник узнал о плане централизовать на 2 месяца в федбюджете 46% НДПИ от ""АЛРОСА""",0,0,trend,neutral,business,0,83,7,источник узнать план централизовать месяц федбюджет алрос,ALRS
2022-12-08,"Рынок акций РФ завершил пятницу и неделю снижением, упала ""АЛРОСА"" на новостях об НДПИ",-1,1,"trend,volatility",down_vol,business,0,86,9,рынок акция завершить пятница неделя снижение упасть алрос новость,ALRS
2023-04-11,"Страны G7 готовятся ввести санкции в отношении части алмазов ""АЛРОСА""",-1,0,trend,down,business,-1,69,7,готовиться ввести санкция отношение часть алмаз алрос,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,0,68,7,алрос предупредить скорый нарушение баланс восполнение запас,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,0,68,7,алрос предупредить скорый нарушение баланс восполнение запас,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,0,68,7,алрос предупредить скорый нарушение баланс восполнение запас,ALRS
2023-09-21,"Эксперты допустили, что ""курсовая"" пошлина более всего затронет ""Русал"", ""Норникель"" и ""АЛРОСА""",1,1,"trend,volatility",up_vol,business,0,95,7,эксперт допустить курсовой пошлина более затронуть алрос,ALRS
2024-02-19,"Самолет АК ""Алроса"" был поврежден при контакте со спецтехникой в Новосибирске",0,0,trend,neutral,russia,0,77,4,самолет повредить контакт спецтехника,ALRS
2024-03-19,"""Полюс"", ""АЛРОСА"" и ""Норникель"" заинтересовались региональной геологоразведкой",1,0,trend,up,business,0,78,5,полюс алрос заинтересоваться региональный геологоразведка,ALRS
2024-03-26,"""АЛРОСА"" и Минфин заключили соглашение о выкупе алмазов в 2024 году",1,0,trend,up,business,0,67,7,алрос заключить соглашение выкуп алмаз 2024 год,ALRS
2024-06-17,"ЦБ зарегистрировал выпуск замещающих облигаций ""АЛРОСА"" с погашением в 2027 году",0,0,trend,neutral,business,0,80,8,зарегистрировать выпуск замещать облигация алрос погашение 2027 год,ALRS
2024-08-12,"Полугодовая выручка ""АЛРОСА"" по МСФО составила 179,5 млрд рублей",0,0,trend,neutral,business,0,64,6,полугодовой выручка алрос составить млрд рубль,ALRS
2024-08-22,"В SDN List добавлены Московский ювелирный завод и смоленский ""Кристалл"", входящий в ""АЛРОСА""",1,0,trend,up,business,0,92,8,добавить московский ювелирный завод смоленский кристалл входить алрос,ALRS
2024-09-16,"В ""АЛРОСА"" оценили максимальное снижение цен на алмазы в пределах 4%",1,0,trend,up,business,-1,68,7,алрос оценить максимальный снижение цена алмаз предел,ALRS
