date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-04-19,АЛРОСА выставит на аукцион Christie's бриллиант массой свыше 100 карат,0,0,none,neutral,world,ALRS
2021-06-22,"Сотрудница АЛРОСА, укравшая алмазы на 700 млн рублей, получила 9 лет",-1,0,trend,down,russia,ALRS
2021-06-22,"Сотрудница АЛРОСА, укравшая алмазы на 700 млн рублей, получила 9 лет",-1,0,trend,down,russia,ALRS
2021-06-22,"Сотрудница АЛРОСА, укравшая алмазы на 700 млн рублей, получила 9 лет",-1,0,trend,down,russia,ALRS
2022-05-27,"""АЛРОСА"" не будет останавливать работу из-за сложностей, вызванных санкциями",1,0,none,up,business,ALRS
2022-12-01,"Глава ""АЛРОСА"" Сергей Иванов покинет компанию",0,0,none,neutral,business,ALRS
2022-12-08,"Источник узнал о плане централизовать на 2 месяца в федбюджете 46% НДПИ от ""АЛРОСА""",-1,1,"trend,volatility",down_vol,business,ALRS
2022-12-09,"Рынок акций РФ завершил пятницу и неделю снижением, упала ""АЛРОСА"" на новостях об НДПИ",0,0,none,neutral,business,ALRS
2022-12-13,"Средства от суммарного увеличения НДПИ для ""АЛРОСА"" распределят между бюджетами",-1,1,"trend,volatility",down_vol,business,ALRS
2023-04-12,"Страны G7 готовятся ввести санкции в отношении части алмазов ""АЛРОСА""",1,0,none,up,business,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,ALRS
2023-05-22,"""АЛРОСА"" предупредила о скором нарушении баланса восполнения запасов",1,1,"trend,volatility",up_vol,russia,ALRS
2024-01-03,ЕС ввел санкции против АЛРОСА и ее гендиректора Маринычева,0,0,none,neutral,world,ALRS
2024-03-20,"""Полюс"", ""АЛРОСА"" и ""Норникель"" заинтересовались региональной геологоразведкой",0,0,trend,neutral,business,ALRS
2024-03-27,"""АЛРОСА"" и Минфин заключили соглашение о выкупе алмазов в 2024 году",0,0,none,neutral,business,ALRS
2024-04-23,"Госсобрание Якутии исключило снижение доли республики в ""АЛРОСА"" после допэмиссии",0,0,none,neutral,business,ALRS
2024-06-17,"ЦБ зарегистрировал выпуск замещающих облигаций ""АЛРОСА"" с погашением в 2027 году",-1,0,none,down,business,ALRS
2024-06-17,"ЦБ зарегистрировал выпуск замещающих облигаций ""АЛРОСА"" с погашением в 2027 году",-1,0,none,down,business,ALRS
2024-08-12,"Полугодовая выручка ""АЛРОСА"" по МСФО составила 179,5 млрд рублей",0,0,trend,neutral,business,ALRS
2024-08-23,"В SDN List добавлены Московский ювелирный завод и смоленский ""Кристалл"", входящий в ""АЛРОСА""",0,0,none,neutral,business,ALRS
2024-09-17,"В ""АЛРОСА"" оценили максимальное снижение цен на алмазы в пределах 4%",-1,0,none,down,business,ALRS
