date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-02-22,"""Северсталь"" и минское ""Динамо"" вышли в плей-офф КХЛ",0,1,"trend,volatility",neutral_vol,https:,0,52,5,северсталь минский динамо выйти плей-офф,CHMF
2021-12-28,"ФАС обвинила ММК и ""Северсталь"" в установлении монопольно высоких цен",0,0,trend,neutral,business,0,69,6,обвинить северсталь установление монопольно высокий цена,CHMF
2022-07-20,"""Северсталь"" во II квартале сократила выплавку стали на 18% к январю-марту",0,0,trend,neutral,business,0,74,7,северсталь ii квартал сократить выплавка стать январь-март,CHMF
2022-08-29,"""Северсталь"" досрочно погасила долларовые евробонды-22 в рублях",0,0,trend,neutral,business,0,63,6,северсталь досрочно погасить долларовый евробонды-22 рубль,CHMF
2022-09-19,"Минское ""Динамо"" обыграло череповецкую ""Северсталь"" в матче КХЛ",-1,1,"trend,volatility",down_vol,https:,0,63,6,минский динамо обыграть череповецкий северсталь матч,CHMF
2022-09-19,"Минское ""Динамо"" обыграло череповецкую ""Северсталь"" в матче КХЛ",-1,1,"trend,volatility",down_vol,https:,0,63,6,минский динамо обыграть череповецкий северсталь матч,CHMF
2022-09-19,"Минское ""Динамо"" обыграло череповецкую ""Северсталь"" в матче КХЛ",-1,1,"trend,volatility",down_vol,https:,0,63,6,минский динамо обыграть череповецкий северсталь матч,CHMF
2022-10-11,"""Северсталь"" предложила держателям долларовых евробондов-24 выплаты в рублях",0,0,trend,neutral,business,0,76,7,северсталь предложить держатель долларовый евробондов-24 выплата рубль,CHMF
2022-11-07,"""Северсталь"" ждет падения спроса на металл у строителей и машиностроения в 2022 году",-1,0,trend,down,business,0,84,9,северсталь ждать падение спрос металл строитель машиностроение 2022 год,CHMF
2022-11-07,"""Северсталь"" ждет падения спроса на металл у строителей и машиностроения в 2022 году",-1,0,trend,down,business,0,84,9,северсталь ждать падение спрос металл строитель машиностроение 2022 год,CHMF
2022-11-15,"""Спартак"" победив ""Северсталь"", выиграв третий матч подряд в КХЛ",0,0,trend,neutral,https:,0,64,7,спартак победить северсталь выиграть третий матч подряд,CHMF
2024-02-01,"Российский рынок акций скорректировался вниз во главе с ""Северсталью""",-1,0,trend,down,business,0,69,6,российский рынок акция скорректироваться вниз глава,CHMF
2024-06-18,"""Северсталь"" обновила стратегию развития Оленегорского ГОКа до 2040 года",0,0,trend,neutral,business,0,72,8,северсталь обновить стратегия развитие оленегорский гок 2040 год,CHMF
2024-06-18,"""Северсталь"" обновила стратегию развития Оленегорского ГОКа до 2040 года",0,0,trend,neutral,business,0,72,8,северсталь обновить стратегия развитие оленегорский гок 2040 год,CHMF
2024-11-18,"""Северсталь"" готовит программу облигаций для сотрудников на 10 млрд рублей",-1,0,trend,down,business,0,74,7,северсталь готовить программа облигация сотрудник млрд рубль,CHMF
2024-11-18,"""Северсталь"" готовит программу облигаций для сотрудников на 10 млрд рублей",-1,0,trend,down,business,0,74,7,северсталь готовить программа облигация сотрудник млрд рубль,CHMF
2024-11-18,"""Северсталь"" готовит программу облигаций для сотрудников на 10 млрд рублей",-1,0,trend,down,business,0,74,7,северсталь готовить программа облигация сотрудник млрд рубль,CHMF
