date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-04,"""Газпром"" сообщил о выводе экспорта в КНР по ""Силе Сибири"" на новый уровень",1,0,trend,up,business,0,75,7,газпром сообщить вывод экспорт сила новый уровень,GAZP
2021-01-05,"На Украине сообщили о снижении транзита газа ""Газпромом"" в начале года",1,0,trend,up,business,0,70,6,сообщить снижение транзит газ начало год,GAZP
2021-01-12,"Киев призвали подписать прямые договоры с ""Газпромом""",0,0,trend,neutral,world,0,53,4,призвать подписать прямой договор,GAZP
2021-01-13,"""Газпром"" на следующей неделе может выйти на рынок с новыми евробондами",1,0,trend,up,business,0,71,8,газпром следующий неделя мочь выйти рынок новый евробонд,GAZP
2021-01-13,"В ""Газпроме"" заявили, что поставщики газа занялись стабилизацией рынка в ущерб выгоде",1,0,trend,up,business,0,85,8,заявить поставщик газ заняться стабилизация рынок ущерб выгода,GAZP
2021-01-13,"Сотрудников ""Газпрома"" начали прививать от коронавируса",1,0,trend,up,russia,0,55,4,сотрудник начать прививать коронавирус,GAZP
2021-01-18,"Рынок акций закрылся распродажами из-за рисков санкций к ""Газпрому"" и новостей ЦБ",-1,0,trend,down,business,0,81,7,рынок акция закрыться распродажа риск санкция новость,GAZP
2021-01-18,"Рынок акций закрылся распродажами из-за рисков санкций к ""Газпрому"" и новостей ЦБ",-1,0,trend,down,business,0,81,7,рынок акция закрыться распродажа риск санкция новость,GAZP
2021-01-18,"Рынок акций закрылся распродажами из-за рисков санкций к ""Газпрому"" и новостей ЦБ",-1,0,trend,down,business,0,81,7,рынок акция закрыться распродажа риск санкция новость,GAZP
2021-01-21,"""Газпром"" в 2021 году увеличит финансирование ""Силы Сибири"" в четыре раза",-1,0,trend,down,business,0,73,7,газпром 2021 год увеличить финансирование сила раз,GAZP
2021-01-25,"""Газпром"" продал ""Пик Отель"" в Сочи в 2 раза дороже стартовой цены",-1,0,trend,down,russia,0,66,6,газпром продать раз дороже стартовый цена,GAZP
2021-01-25,"""Газпром"" продал ""Пик Отель"" в Сочи в 2 раза дороже стартовой цены",-1,0,trend,down,russia,0,66,6,газпром продать раз дороже стартовый цена,GAZP
2021-01-26,"""Газпром нефть"" предложила меры для улучшения экономики нефтепереработки",-1,0,trend,down,business,0,72,7,газпром нефть предложить мера улучшение экономика нефтепереработка,GAZP
2021-01-26,"""Газпром нефть"" предложила меры для улучшения экономики нефтепереработки",-1,0,trend,down,business,0,72,7,газпром нефть предложить мера улучшение экономика нефтепереработка,GAZP
2021-02-01,"""Газпром"" с февраля снизил прокачку через Украину до 115 млн куб. м в сутки",1,0,trend,up,business,0,75,8,газпром февраль снизить прокачка млн куб м сутки,GAZP
2021-02-01,"""Газпром"" с февраля снизил прокачку через Украину до 115 млн куб. м в сутки",1,0,trend,up,business,0,75,8,газпром февраль снизить прокачка млн куб м сутки,GAZP
2021-02-03,"""Газпром"" на следующей неделе может выйти с новым выпуском евробондов",1,0,trend,up,business,0,69,8,газпром следующий неделя мочь выйти новый выпуск евробонд,GAZP
2021-02-03,"""Газпром"" на следующей неделе может выйти с новым выпуском евробондов",1,0,trend,up,business,0,69,8,газпром следующий неделя мочь выйти новый выпуск евробонд,GAZP
2021-02-17,"""Газпром"" отметил скачок спроса на газ в Москве и области из-за морозов",-1,0,trend,down,business,0,71,7,газпром отметить скачок спрос газ область мороз,GAZP
2021-02-17,"Совет директоров ""Газпрома"" обдумает открытие второй частной школы",-1,0,trend,down,business,0,66,6,директор обдумать открытие второй частный школа,GAZP
2021-02-17,"""Газпром нефть"" создаст ""дочку"", которая займется строительством дорог",-1,0,trend,down,business,0,70,7,газпром нефть создать дочка заняться строительство дорога,GAZP
2021-02-17,"""Газпром"" отметил скачок спроса на газ в Москве и области из-за морозов",-1,0,trend,down,business,0,71,7,газпром отметить скачок спрос газ область мороз,GAZP
2021-02-17,"Совет директоров ""Газпрома"" обдумает открытие второй частной школы",-1,0,trend,down,business,0,66,6,директор обдумать открытие второй частный школа,GAZP
2021-02-17,"""Газпром нефть"" создаст ""дочку"", которая займется строительством дорог",-1,0,trend,down,business,0,70,7,газпром нефть создать дочка заняться строительство дорога,GAZP
2021-02-18,"""Газпром"" резко снизил транзит через Украину",1,0,trend,up,business,0,44,4,газпром резко снизить транзит,GAZP
2021-02-17,"""Газпром"" отметил скачок спроса на газ в Москве и области из-за морозов",-1,0,trend,down,business,0,71,7,газпром отметить скачок спрос газ область мороз,GAZP
2021-02-17,"Совет директоров ""Газпрома"" обдумает открытие второй частной школы",-1,0,trend,down,business,0,66,6,директор обдумать открытие второй частный школа,GAZP
2021-02-17,"""Газпром нефть"" создаст ""дочку"", которая займется строительством дорог",-1,0,trend,down,business,0,70,7,газпром нефть создать дочка заняться строительство дорога,GAZP
2021-02-18,"""Газпром"" резко снизил транзит через Украину",1,0,trend,up,business,0,44,4,газпром резко снизить транзит,GAZP
2021-02-19,"Газпромбанк задумал привлечь 46,6 млрд рублей в результате допэмиссии",-1,0,trend,down,business,0,69,6,задумать привлечь млрд рубль результат допэмиссия,GAZP
2021-02-22,"""Газпром"" вывел крупнейшее Бованенковское месторождение на пик добычи",0,0,trend,neutral,business,0,69,7,газпром вывести крупный бованенковский месторождение пик добыча,GAZP
2021-02-24,"Контракт Миллера в ""Газпроме"" продлили на очередные пять лет",-1,0,trend,down,business,0,60,4,контракт продлить очередной год,GAZP
