date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-01-06,"На Украине сообщили о снижении транзита газа ""Газпромом"" в начале года",1,1,volatility,up_vol,business,GAZP
2021-01-19,"Рынок акций закрылся распродажами из-за рисков санкций к ""Газпрому"" и новостей ЦБ",0,0,none,neutral,business,GAZP
2021-01-19,"Рынок акций закрылся распродажами из-за рисков санкций к ""Газпрому"" и новостей ЦБ",0,0,none,neutral,business,GAZP
2021-01-25,"""Газпром"" продал ""Пик Отель"" в Сочи в 2 раза дороже стартовой цены",0,0,none,neutral,russia,GAZP
2021-01-27,"""Газпром нефть"" предложила меры для улучшения экономики нефтепереработки",0,0,none,neutral,business,GAZP
2021-02-18,"""Газпром"" отметил скачок спроса на газ в Москве и области из-за морозов",1,0,trend,up,business,GAZP
2021-02-18,"Совет директоров ""Газпрома"" обдумает открытие второй частной школы",1,0,trend,up,business,GAZP
2021-02-18,"""Газпром нефть"" создаст ""дочку"", которая займется строительством дорог",1,0,trend,up,business,GAZP
2021-02-24,"Контракт Миллера в ""Газпроме"" продлили на очередные пять лет",0,0,trend,neutral,business,GAZP
2021-02-26,"Строительного мега-подрядчика ""Газпрома"" возглавит начальник департамента закупок монополии",1,1,volatility,up_vol,business,GAZP
2021-03-05,"Сбербанк консолидирует ""Центр речевых технологий"" Газпромбанка",1,0,trend,up,business,GAZP
2021-03-09,"Транзит ""Газпрома"" через Украину вернулся к зимнему уровню",0,0,none,neutral,business,GAZP
2021-04-14,"Акции ""Газпрома"" обновили максимум с 17 марта на новостях о дивидендах",-1,0,none,down,business,GAZP
2021-06-21,"Минюст зарегистрировал приказы о повышении цен на газ ""Газпрома"" с 1 июля",1,0,trend,up,business,GAZP
2021-06-21,"Узбекистан из продавца превратился в покупателя газа у ""Газпрома""",1,0,trend,up,business,GAZP
2021-06-28,"Задержан руководитель ""Газпром межрегионгаз Ставрополь""",0,0,none,neutral,russia,GAZP
2021-08-05,"Поставки газа по ""Ямалу-Европе"" упали в 2 раза на фоне аварии на ГПЗ ""Газпрома""",-1,1,volatility,down_vol,business,GAZP
2021-08-06,"""Газпром"" начал активно отбирать газ из хранилищ после пожара в Уренгое",1,0,none,up,business,GAZP
2021-08-23,"""Газпром межрегионаз"" потратит на PR-продвижение газификации 1,2 млрд руб.",0,0,none,neutral,business,GAZP
2021-08-25,"Переход ""Газпрома"" к закачке резко улучшил статистику пополнения запасов в Европе",0,0,trend,neutral,business,GAZP
2021-08-27,"Полугодовая прибыль Газпромбанка по МСФО выросла в 2,7 раза",1,0,none,up,business,GAZP
2021-08-27,"Власти Оренбургской области заверили, что пожар не угрожает ГПЗ ""Газпрома""",1,0,none,up,russia,GAZP
2021-08-27,"""Газпром экспорт"" перестал продавать газ на 2022 год на Электронной торговой платформе",1,0,none,up,business,GAZP
2021-08-27,"Рядом с оренбургским ГПЗ ""Газпрома"" начался природный пожар",1,0,none,up,russia,GAZP
2021-08-30,"Чистая прибыль ""Газпрома"" по МСФО во II квартале превысила ожидания",0,0,trend,neutral,business,GAZP
2021-08-30,"Чистая прибыль ""Газпрома"" по МСФО во II квартале превысила ожидания",0,0,trend,neutral,business,GAZP
2021-09-16,"""Газпром"" подтвердил план экспорта в Европу на 2021 год в 183 млрд куб. м",0,0,trend,neutral,business,GAZP
