date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-02-10,"""ЛУКОЙЛ"" изучит перспективу получения водорода из газа",1,0,trend,up,business,0,54,6,лукойл изучить перспектива получение водород газ,LKOH
2021-02-10,"""ЛУКОЙЛ"" изучит перспективу получения водорода из газа",1,0,trend,up,business,0,54,6,лукойл изучить перспектива получение водород газ,LKOH
2021-02-24,"СК проверит обстоятельства гибели рабочего на буровой ""ЛУКОЙЛа"" в ХМАО",-1,0,trend,down,russia,0,70,5,проверить обстоятельство гибель рабочий буровой,LKOH
2021-02-24,"СК проверит обстоятельства гибели рабочего на буровой ""ЛУКОЙЛа"" в ХМАО",-1,0,trend,down,russia,0,70,5,проверить обстоятельство гибель рабочий буровой,LKOH
2021-03-09,"""ЛУКОЙЛ"" будет сокращать бурение и уменьшать добычные мощности",0,0,trend,neutral,business,0,62,6,лукойл сокращать бурение уменьшать добычный мощность,LKOH
2021-03-09,"""ЛУКОЙЛ"" будет сокращать бурение и уменьшать добычные мощности",0,0,trend,neutral,business,0,62,6,лукойл сокращать бурение уменьшать добычный мощность,LKOH
2021-04-20,"СД ""ЛУКОЙЛа"" рекомендовал финальные дивиденды за 2020 год в 213 руб. на акцию",1,0,trend,up,business,1,77,7,рекомендовать финальный дивиденд 2020 год руб акция,LKOH
2021-04-20,"СД ""ЛУКОЙЛа"" рекомендовал финальные дивиденды за 2020 год в 213 руб. на акцию",1,0,trend,up,business,1,77,7,рекомендовать финальный дивиденд 2020 год руб акция,LKOH
2021-04-20,"СД ""ЛУКОЙЛа"" рекомендовал финальные дивиденды за 2020 год в 213 руб. на акцию",1,0,trend,up,business,1,77,7,рекомендовать финальный дивиденд 2020 год руб акция,LKOH
2021-05-27,"Wintershall Dea выйдет из СП с ""ЛУКОЙЛом"" ""Волгодеминойл""",1,0,trend,up,business,0,57,3,выйти лукойл волгодеминойло,LKOH
2021-07-20,"Топ-менеджер мексиканской ""дочки"" ""ЛУКОЙЛа"" погиб в ДТП",1,0,trend,up,world,0,55,5,топ-менеджер мексиканский дочка погибнуть дтп,LKOH
2021-07-20,"Топ-менеджер мексиканской ""дочки"" ""ЛУКОЙЛа"" погиб в ДТП",1,0,trend,up,world,0,55,5,топ-менеджер мексиканский дочка погибнуть дтп,LKOH
2021-10-18,"Пятерых сотрудников нефтешахты ""ЛУКОЙЛа"" в Коми обвинили в гибели двух рабочих",0,0,trend,neutral,russia,0,78,5,сотрудник нефтешахта обвинить гибель рабочий,LKOH
2021-10-18,"Пятерых сотрудников нефтешахты ""ЛУКОЙЛа"" в Коми обвинили в гибели двух рабочих",0,0,trend,neutral,russia,0,78,5,сотрудник нефтешахта обвинить гибель рабочий,LKOH
2021-12-06,"""ЛУКОЙЛ"" возобновил buyback после долгой паузы",0,0,trend,neutral,business,0,46,4,лукойл возобновить долгий пауза,LKOH
2021-12-06,"""ЛУКОЙЛ"" возобновил buyback после долгой паузы",0,0,trend,neutral,business,0,46,4,лукойл возобновить долгий пауза,LKOH
2022-05-11,"ФАС получила ходатайство ""ЛУКОЙЛа"" о покупке активов Shell в РФ",-1,1,"trend,volatility",down_vol,business,0,63,4,получить ходатайство покупка актив,LKOH
2022-05-30,"""ЛУКОЙЛ"" хочет сократить состав СД и позволить ему приостановку полномочий президента НК",-1,0,trend,down,business,0,88,8,лукойл хотеть сократить состав позволить приостановка полномочие президент,LKOH
2022-05-30,"""ЛУКОЙЛ"" хочет сократить состав СД и позволить ему приостановку полномочий президента НК",-1,0,trend,down,business,0,88,8,лукойл хотеть сократить состав позволить приостановка полномочие президент,LKOH
2022-06-15,"Enel продаст свою долю в ""Энел Россия"" ""ЛУКОЙЛу"" и фонду ""Газпромбанк-Фрезия""",1,0,trend,up,business,0,77,5,продать доля лукойл фонд газпромбанк-фрезия,LKOH
2022-06-15,"Enel продаст свою долю в ""Энел Россия"" ""ЛУКОЙЛу"" и фонду ""Газпромбанк-Фрезия""",1,0,trend,up,business,0,77,5,продать доля лукойл фонд газпромбанк-фрезия,LKOH
2022-07-18,"""ЛУКОЙЛ"" инвестировал в ВИЭ в 2021 году на 8,5% и в 3,8 раз больше, чем в 2020 и 2019 гг.",-1,0,trend,down,business,0,89,8,лукойл инвестировать 2021 год раз 2020 2019 год,LKOH
2022-07-18,"""ЛУКОЙЛ"" инвестировал в ВИЭ в 2021 году на 8,5% и в 3,8 раз больше, чем в 2020 и 2019 гг.",-1,0,trend,down,business,0,89,8,лукойл инвестировать 2021 год раз 2020 2019 год,LKOH
2022-07-18,"""ЛУКОЙЛ"" инвестировал в ВИЭ в 2021 году на 8,5% и в 3,8 раз больше, чем в 2020 и 2019 гг.",-1,0,trend,down,business,0,89,8,лукойл инвестировать 2021 год раз 2020 2019 год,LKOH
