date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-13,"""Магнит"" наметил запуск виртуального оператора связи Magnit Mobile на 2021 год",-1,0,trend,down,russia,0,78,8,магнит наметить запуск виртуальный оператор связь 2021 год,MGNT
2021-01-13,"Maersk и ""Рускон"" организовали импорт фруктов для ""Магнита""",-1,0,trend,down,russia,0,59,3,организовать импорт фрукт,MGNT
2021-01-25,"""Лента"" начала тестировать ""жесткие"" дискаунтеры вслед за ""Магнитом"" и Х5",0,0,trend,neutral,business,0,73,7,лента начать тестировать жесткий дискаунтер вслед магнит,MGNT
2021-03-22,"""Магнит"" запустил собственный сервис доставки из магазинов дрогери",0,0,trend,neutral,business,0,66,7,магнит запустить собственный сервис доставка магазин дрогери,MGNT
2021-04-20,Магнитогорский комбинат возобновит выпуск горячекатаной стали в Турции,0,0,trend,neutral,business,0,70,6,магнитогорский комбинат возобновить выпуск горячекатаный стать,MGNT
2021-09-10,"""Магнит"" продал 73 т арбузов из партии, которой предположительно отравились люди",1,0,trend,up,moscow,0,80,7,магнит продать арбуз партия предположительно отравиться человек,MGNT
2021-09-13,"Прокуроры проверят Областной центр дезинфекции, проводивший дезинсекцию в ""Магните""",0,0,trend,neutral,moscow,0,83,8,прокурор проверить областной центр дезинфекция проводить дезинсекция магнит,MGNT
2021-09-13,"""Магнит"" проведет внеплановую проверку подрядчиков по оказанию услуг дезинсекции",0,0,trend,neutral,moscow,0,80,8,магнит провести внеплановый проверка подрядчик оказание услуга дезинсекция,MGNT
2021-09-13,"Прокуроры проверят Областной центр дезинфекции, проводивший дезинсекцию в ""Магните""",0,0,trend,neutral,moscow,0,83,8,прокурор проверить областной центр дезинфекция проводить дезинсекция магнит,MGNT
2021-09-13,"""Магнит"" проведет внеплановую проверку подрядчиков по оказанию услуг дезинсекции",0,0,trend,neutral,moscow,0,80,8,магнит провести внеплановый проверка подрядчик оказание услуга дезинсекция,MGNT
2021-12-06,"Marathon увеличила долю в ""Магните"" до 25% без учета пакета в РЕПО",1,1,"trend,volatility",up_vol,business,0,66,5,увеличить доля магнит учет пакет,MGNT
