date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-02-16,Суд отправил в колонию организатора финансовой пирамиды в Магнитогорске,-1,0,none,down,russia,MGNT
2021-03-23,"""Магнит"" запустил собственный сервис доставки из магазинов дрогери",0,0,none,neutral,business,MGNT
2021-04-21,Магнитогорский комбинат возобновит выпуск горячекатаной стали в Турции,1,0,trend,up,business,MGNT
2021-07-26,"""Магнит"" задумал расширить сеть к концу 2021 года до 26 041 магазина",1,0,trend,up,business,MGNT
2021-09-13,"Прокуроры проверят Областной центр дезинфекции, проводивший дезинсекцию в ""Магните""",1,0,trend,up,moscow,MGNT
2021-09-13,"""Магнит"" проведет внеплановую проверку подрядчиков по оказанию услуг дезинсекции",1,0,trend,up,moscow,MGNT
2021-09-13,"Прокуроры проверят Областной центр дезинфекции, проводивший дезинсекцию в ""Магните""",1,0,trend,up,moscow,MGNT
2021-09-13,"""Магнит"" проведет внеплановую проверку подрядчиков по оказанию услуг дезинсекции",1,0,trend,up,moscow,MGNT
2021-12-07,"Marathon увеличила долю в ""Магните"" до 25% без учета пакета в РЕПО",0,0,none,neutral,business,MGNT
2021-12-07,"Marathon увеличила долю в ""Магните"" до 25% без учета пакета в РЕПО",0,0,none,neutral,business,MGNT
2021-12-09,"США ввели санкции против экс-советника Януковича по ""закону Магнитского""",-1,0,none,down,world,MGNT
2022-07-29,"Землетрясение магнитудой 5,4 произошло вблизи Южных Курил",0,1,"trend,volatility",neutral_vol,russia,MGNT
2022-08-18,"""Магнит"" направил уведомление о необходимости автоматической конвертации GDR",-1,1,"trend,volatility",down_vol,business,MGNT
2022-08-18,"""Магнит"" направил уведомление о необходимости автоматической конвертации GDR",-1,1,"trend,volatility",down_vol,business,MGNT
2023-06-16,"""Магнит"" в I квартале нарастил выручку на 9%, чистую прибыль – на 41,3%",1,1,"trend,volatility",up_vol,business,MGNT
2023-06-16,"""Магнит"" выставил оферту для инвесторов-нерезидентов",1,1,"trend,volatility",up_vol,business,MGNT
2023-06-28,"""Магнит"" увеличивает лимит выкупа акций у нерезидентов почти в три раза",0,0,trend,neutral,business,MGNT
2023-08-02,"""Норникель"" пока не планирует повторить опыт ""Магнита"" с выкупом ADR у нерезидентов",-1,0,trend,down,business,MGNT
2023-08-10,"""Магнит"" выкупил акции у нерезидентов, владевших 16,6% через инфраструктуру РФ",-1,0,none,down,business,MGNT
2023-09-14,"""Магнит"" выкупил 21,5% акций у зарубежных инвесторов",-1,0,trend,down,business,MGNT
2023-10-27,"Подземный толчок магнитудой 4,4 зарегистрирован в акватории Байкала",-1,0,none,down,russia,MGNT
2023-10-27,"""Магнит"" приобретет 33,01% дальневосточной сети ""Самбери""",-1,0,none,down,business,MGNT
2023-11-23,"СД ""Магнита"" рассматривает вопрос о собрании акционеров и рекомендацию по дивидендам",0,0,none,neutral,business,MGNT
2024-04-26,"На Тайване произошло землетрясение магнитудой 6,1",0,0,trend,neutral,world,MGNT
2024-05-15,"""Магнит"" в IV квартале нарастил выручку на 10,5%, по итогам 2023 года – на 8,2%",-1,0,trend,down,business,MGNT
2024-05-15,"""Магнит"" сменил гендиректора",-1,0,trend,down,business,MGNT
2024-05-31,"Совет директоров ""Магнита"" рекомендовал дивиденды-2023 в 412,13 руб./акция",-1,0,none,down,business,MGNT
2024-11-26,"Землетрясение магнитудой 6,1 произошло у берегов Японии",1,1,"trend,volatility",up_vol,world,MGNT
2024-11-26,"Землетрясение магнитудой 6,1 произошло у берегов Японии",1,1,"trend,volatility",up_vol,world,MGNT
