date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-03-01,"Мосбиржа поворачивается на Восток, расширяя торги на валютном и срочном рынке. Обзор.",1,0,trend,up,business,0,85,6,поворачиваться расширять торг валютный срочный рынок,MOEX
2021-03-01,"Мосбиржа поворачивается на Восток, расширяя торги на валютном и срочном рынке. Обзор.",1,0,trend,up,business,0,85,6,поворачиваться расширять торг валютный срочный рынок,MOEX
2021-05-19,МосБиржа намерена в IV квартале запустить утреннюю сессию на рынке акций,-1,0,trend,down,business,0,72,9,мосбиржа намерен iv квартал запустить утренний сессия рынок акция,MOEX
2021-11-22,"""Мосбиржа"" возобновит торги облигациями ""Роснано"" в понедельник",1,0,trend,up,business,0,63,5,мосбиржа возобновить торг облигация понедельник,MOEX
2021-11-22,"""Мосбиржа"" возобновит торги облигациями ""Роснано"" в понедельник",1,0,trend,up,business,0,63,5,мосбиржа возобновить торг облигация понедельник,MOEX
2022-02-17,Мосбиржа определилась с торгами 23 февраля и 6-8 марта,-1,0,trend,down,business,0,54,5,определиться торг 23 февраль март,MOEX
2022-03-25,"""Мосбиржа"" возобновит торги акциями российских компаний в понедельник",-1,0,trend,down,business,0,69,7,мосбиржа возобновить торг акция российский компания понедельник,MOEX
2022-09-05,Мосбиржа с 9 сентября сделает доступными на вечерних торгах срочного рынка все инструменты,0,0,trend,neutral,business,0,90,9,9 сентябрь сделать доступный вечерний торг срочный рынок инструмент,MOEX
2022-09-05,Мосбиржа с 9 сентября сделает доступными на вечерних торгах срочного рынка все инструменты,0,0,trend,neutral,business,0,90,9,9 сентябрь сделать доступный вечерний торг срочный рынок инструмент,MOEX
2023-01-26,"Мосбиржа повысит в 2,2 раза лимиты концентрации по сделкам с турецкой лирой",1,1,"trend,volatility",up_vol,business,0,75,7,повысить раз лимит концентрация сделка турецкий лира,MOEX
2023-03-09,"Мосбиржа может выплатить дивиденды за 2022 г. в размере 4,84 руб. на акцию",-1,1,"trend,volatility",down_vol,business,1,74,8,мочь выплатить дивиденд 2022 г размер руб акция,MOEX
2023-04-26,"Мосбиржа с 1 июня увеличит время расчета валютных фиксингов в три раза, до 15 минут",0,0,trend,neutral,business,0,83,9,1 июнь увеличить время расчет валютный фиксинг раз минута,MOEX
2023-05-10,Мосбиржа 11 мая запустит торги фьючерсами на казахстанский тенге и армянский драм,-1,0,trend,down,business,0,81,9,11 май запустить торг фьючерс казахстанский тенг армянский драма,MOEX
2023-05-10,Мосбиржа 11 мая запустит торги фьючерсами на казахстанский тенге и армянский драм,-1,0,trend,down,business,0,81,9,11 май запустить торг фьючерс казахстанский тенг армянский драма,MOEX
2023-07-24,МосБиржа с 1 августа обновит правила листинга,1,0,trend,up,business,0,45,5,1 август обновить правило листинг,MOEX
2023-07-24,МосБиржа с 1 августа обновит правила листинга,1,0,trend,up,business,0,45,5,1 август обновить правило листинг,MOEX
2023-07-31,"Мосбиржа выявила несоответствие акций ""Детского мира"" первому уровню листинга",1,0,trend,up,business,0,77,8,выявить несоответствие акция детский мир первый уровень листинг,MOEX
2023-07-31,МосБиржа 31 июля зафиксировала рекордную активность частных инвесторов на рынке акций,1,0,trend,up,business,0,85,9,31 июль зафиксировать рекордный активность частный инвестор рынок акция,MOEX
2023-09-04,Мосбиржа обсуждает с регионами возможность выпуска ЦФА,-1,0,trend,down,business,0,54,4,обсуждать регион возможность выпуск,MOEX
2023-09-04,Мосбиржа обсуждает с регионами возможность выпуска ЦФА,-1,0,trend,down,business,0,54,4,обсуждать регион возможность выпуск,MOEX
2023-09-11,"""Мосбиржа"" перенесла дату окончания торгов ГДР Noventiq на 26 сентября",1,0,trend,up,business,0,70,7,мосбиржа перенести дата окончание торг 26 сентябрь,MOEX
2023-09-11,"""Мосбиржа"" перенесла дату окончания торгов ГДР Noventiq на 26 сентября",1,0,trend,up,business,0,70,7,мосбиржа перенести дата окончание торг 26 сентябрь,MOEX
2023-09-12,"""Мосбиржа"" оценивает убытки от приостановки торгов на срочном рынке как незначительные",1,0,trend,up,business,-1,86,8,мосбиржа оценивать убыток приостановка торг срочный рынок незначительный,MOEX
2023-09-11,"""Мосбиржа"" перенесла дату окончания торгов ГДР Noventiq на 26 сентября",1,0,trend,up,business,0,70,7,мосбиржа перенести дата окончание торг 26 сентябрь,MOEX
