date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-03-01,"Мосбиржа поворачивается на Восток, расширяя торги на валютном и срочном рынке. Обзор.",1,0,none,up,business,MOEX
2021-03-01,"Мосбиржа поворачивается на Восток, расширяя торги на валютном и срочном рынке. Обзор.",1,0,none,up,business,MOEX
2021-10-14,МосБиржа начала расчет индексов исламских инвестиций,1,1,"trend,volatility",up_vol,business,MOEX
2022-02-18,Мосбиржа определилась с торгами 23 февраля и 6-8 марта,-1,0,trend,down,business,MOEX
2022-05-30,Мосбиржа 31 мая возобновит торги паями еще пяти БПИФ,-1,0,none,down,business,MOEX
2022-12-05,Мосбиржа с 6 декабря существенно повысит лимиты концентрации по сделкам с юанем,1,1,volatility,up_vol,business,MOEX
2022-12-05,Мосбиржа с 6 декабря существенно повысит лимиты концентрации по сделкам с юанем,1,1,volatility,up_vol,business,MOEX
2023-01-20,МосБиржа 23 января начнет расчет трех новых валютных фиксингов,-1,0,trend,down,business,MOEX
2023-03-10,"Мосбиржа может выплатить дивиденды за 2022 г. в размере 4,84 руб. на акцию",-1,0,none,down,business,MOEX
2023-05-10,Мосбиржа 11 мая запустит торги фьючерсами на казахстанский тенге и армянский драм,-1,0,none,down,business,MOEX
2023-07-25,МосБиржа с 1 августа обновит правила листинга,0,0,trend,neutral,business,MOEX
2023-09-01,МосБиржа в августе зафиксировала рекордную активность участников срочного рынка,1,0,trend,up,business,MOEX
2023-09-05,Мосбиржа обсуждает с регионами возможность выпуска ЦФА,1,0,none,up,business,MOEX
2023-09-05,Мосбиржа обсуждает с регионами возможность выпуска ЦФА,1,0,none,up,business,MOEX
2023-09-13,"""Мосбиржа"" оценивает убытки от приостановки торгов на срочном рынке как незначительные",1,1,"trend,volatility",up_vol,business,MOEX
2024-02-06,"Мосбиржа допустила акции ""Диасофта"" к торгам с 15 февраля",1,1,"trend,volatility",up_vol,business,MOEX
2024-02-06,"Мосбиржа допустила акции ""Диасофта"" к торгам с 15 февраля",1,1,"trend,volatility",up_vol,business,MOEX
2024-02-13,"МосБиржа сдвинула старт торгов акциями ""Диасофта"" после IPO на 17:45",-1,0,trend,down,business,MOEX
2024-03-05,"""Мосбиржа"" может выплатить дивиденды за 2023 год в размере 17,35 рубля на акцию",0,0,none,neutral,business,MOEX
2024-03-29,МосБиржа исключит более 600 иностранных акций из списка допущенных к торгам,1,0,trend,up,business,MOEX
2024-04-04,"Мосбиржа допустила акции МФК ""Займер"" к торгам с 12 апреля",0,0,none,neutral,business,MOEX
2024-07-26,МосБиржа переводит акции Globaltruck в сектор повышенного риска,-1,0,none,down,business,MOEX
2024-10-22,"""Мосбиржа"" 25 ноября проведет делистинг расписок X5",-1,0,none,down,business,MOEX
2024-11-06,"""Мосбиржа"" с 14 ноября приостановит торги акциями Росбанка",1,0,none,up,business,MOEX
2024-11-06,"""Мосбиржа"" с 14 ноября приостановит торги акциями Росбанка",1,0,none,up,business,MOEX
2024-11-06,"""Мосбиржа"" с 14 ноября приостановит торги акциями Росбанка",1,0,none,up,business,MOEX
2025-01-14,"""Мосбиржа"" работает штатно на фоне сбоя в Рунете",0,0,trend,neutral,business,MOEX
2025-01-22,Мосбиржа сузит ценовые границы акций на утренних торгах до 10%,0,0,trend,neutral,business,MOEX
2025-01-27,Мосбиржа остановит торги АДР Cian 8 февраля,0,0,trend,neutral,business,MOEX
2025-02-13,Мосбиржа не будет возобновлять торги на фондовом рынке в вечернюю сессию четверга,-1,0,none,down,business,MOEX
2025-02-13,Мосбиржа приостановила торги на фондовом рынке,-1,0,none,down,business,MOEX
2025-02-13,Мосбиржа не будет возобновлять торги на фондовом рынке в вечернюю сессию четверга,-1,0,none,down,business,MOEX
2025-02-13,Мосбиржа приостановила торги на фондовом рынке,-1,0,none,down,business,MOEX
2025-02-24,"""Мосбиржа"" 1 марта запустит торги по выходным в экспериментальном режиме",-1,0,trend,down,business,MOEX
2025-03-12,Мосбиржа запустит торги инструментами с привязкой к стоимости криптоактивов с появлением регулирования,-1,0,none,down,business,MOEX
2025-03-24,"""Мосбиржа"" 25 марта продлит вечерний клиринг на срочном рынке до 19:20",0,0,trend,neutral,business,MOEX
2025-03-24,"""Мосбиржа"" 25 марта продлит вечерний клиринг на срочном рынке до 19:20",0,0,trend,neutral,business,MOEX
