date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2022-10-12,МТС представит новую дивидендную политику не позднее начала 2023 года,0,0,trend,neutral,business,0,69,8,представить новый дивидендный политика поздний начало 2023 год,MTSS
2022-10-12,МТС ждет стабильных условий для продажи башенной инфраструктуры,0,0,trend,neutral,business,0,63,6,ждать стабильный условие продажа башенный инфраструктура,MTSS
2022-12-12,МТС получила согласие инвесторов на прямые выплаты по евробондам,-1,0,trend,down,business,0,64,6,получить согласие инвестор прямой выплата евробонд,MTSS
2022-12-13,СПбМТСБ перевела софт для доступа к торгам на отечественную Java-платформу,0,0,trend,neutral,business,0,74,6,спбмтсб перевести софт доступ торг отечественный,MTSS
2023-02-28,"Цены экспорта нефти в рамках price cap будут мониторить на базе данных Argus, ФТС и СПбМТСБ",1,1,"trend,volatility",up_vol,business,0,91,8,цена экспорт нефть рамка мониторить база данные спбмтсб,MTSS
2023-03-30,"МТС создала ""дочку"" под развитие направления ""умного дома""",-1,0,trend,down,business,1,58,6,создать дочка развитие направление умный дом,MTSS
2023-04-17,"МТС в рамках допсоглашения с Cisco урегулировала задолженность на 1,2 млрд рублей",0,0,trend,neutral,business,0,81,6,рамка допсоглашение урегулировать задолженность млрд рубль,MTSS
2023-11-14,На СПбМТСБ появилось два новых вице-президента,-1,1,"trend,volatility",down_vol,business,0,46,4,спбмтсб появиться новый вице-президент,MTSS
2023-11-15,Суд частично удовлетворил иск МТС-банка к Euroclear,-1,0,trend,down,business,0,51,4,суд частично удовлетворить иск,MTSS
2024-02-26,Полномочия президента МТС Вячеслава Николаева продлены на три года,0,0,trend,neutral,business,0,66,4,полномочие президент продлить год,MTSS
2024-02-26,"МТС создала новое ""МТС Медиа"" вместо переименованного в ""Кион""",0,0,trend,neutral,business,0,62,4,создать новый мтс переименовать,MTSS
2024-04-22,Совет директоров МТС рекомендовал дивиденды за 2023 год в размере 35 руб./акция,-1,1,"trend,volatility",down_vol,business,1,79,8,директор рекомендовать дивиденд 2023 год размер руб акция,MTSS
2024-07-15,"МТС передает квазиказначейский пакет порядка 1,1% капитала в ЗПИФ для оптимизации расходов",-1,1,"trend,volatility",down_vol,business,0,90,6,передавать квазиказначейский пакет капитал оптимизация расход,MTSS
2024-07-15,Индекс Мосбиржи опустился ниже 2900п на фоне упавшей нефти и отсечки дивидендов МТС,-1,1,"trend,volatility",down_vol,business,0,83,9,индекс опуститься низкий п фон упасть нефть отсечка дивиденд,MTSS
2024-07-15,"МТС передает квазиказначейский пакет порядка 1,1% капитала в ЗПИФ для оптимизации расходов",-1,1,"trend,volatility",down_vol,business,0,90,6,передавать квазиказначейский пакет капитал оптимизация расход,MTSS
2024-07-15,Индекс Мосбиржи опустился ниже 2900п на фоне упавшей нефти и отсечки дивидендов МТС,-1,1,"trend,volatility",down_vol,business,0,83,9,индекс опуститься низкий п фон упасть нефть отсечка дивиденд,MTSS
2024-07-24,МТС разместила бонды на 17 млрд рублей с привязкой к ключевой ставке,-1,0,trend,down,business,0,68,7,разместить бонд млрд рубль привязка ключевой ставка,MTSS
2025-02-26,На СПбМТСБ в феврале объем торгов газом вырос с приходом морозов,0,0,trend,neutral,business,0,64,8,спбмтсб февраль объем торг газ вырасти приход мороз,MTSS
2025-02-26,На СПбМТСБ в феврале объем торгов газом вырос с приходом морозов,0,0,trend,neutral,business,0,64,8,спбмтсб февраль объем торг газ вырасти приход мороз,MTSS
