date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-07-28,"""НОВАТЭК"" в начале 2023 года запустит нефтяную залежь Харбейского месторождения",1,0,trend,up,business,0,79,9,новатэк начало 2023 год запустить нефтяной залежь харбейский месторождение,NVTK
2021-09-16,"Рынок акций РФ в пятницу просел во главе с ""НОВАТЭКом"" и металлургами",-1,1,"trend,volatility",down_vol,business,0,69,6,рынок акция пятница просесть глава металлург,NVTK
2021-09-23,"Рынок акций РФ в пятницу скорректировался вниз во главе с ММК и ""НОВАТЭКом""",0,0,trend,neutral,business,0,75,6,рынок акция пятница скорректироваться вниз глава,NVTK
2021-09-23,"Зампред ""НОВАТЭКа"" Марк Джетвей освобожден под залог в $80 млн",0,0,trend,neutral,world,0,62,4,зампред освободить залог млн,NVTK
2021-09-23,"""НОВАТЭК"" пообещал арестованному в США Марку Джетвею всю необходимую поддержку",0,0,trend,neutral,russia,0,78,5,новатэк пообещать арестовать необходимый поддержка,NVTK
2021-09-23,"Посольство РФ в США запросило Госдеп о местонахождении финдиректора ""НОВАТЭКа""",0,0,trend,neutral,world,0,78,3,запросить местонахождение финдиректор,NVTK
2021-09-23,"Адвокат заявил, что финдиректору ""НОВАТЭКа"" в США грозит до 40 лет тюрьмы",0,0,trend,neutral,world,0,73,6,адвокат заявить финдиректор грозить год тюрьма,NVTK
2022-06-20,"Рынок акций РФ начал неделю с роста во главе с ""НОВАТЭКом""",1,0,trend,up,business,0,58,6,рынок акция начать неделя рост глава,NVTK
2022-06-20,"Рынок акций РФ начал неделю с роста во главе с ""НОВАТЭКом""",1,0,trend,up,business,0,58,6,рынок акция начать неделя рост глава,NVTK
2022-06-20,"Рынок акций РФ начал неделю с роста во главе с ""НОВАТЭКом""",1,0,trend,up,business,0,58,6,рынок акция начать неделя рост глава,NVTK
2022-07-26,"""НОВАТЭК"" решил не публиковать финансовый отчет за II квартал",1,0,trend,up,business,0,61,7,новатэк решить публиковать финансовый отчет ii квартал,NVTK
2022-07-26,"""НОВАТЭК"" решил не публиковать финансовый отчет за II квартал",1,0,trend,up,business,0,61,7,новатэк решить публиковать финансовый отчет ii квартал,NVTK
2022-07-26,"""НОВАТЭК"" решил не публиковать финансовый отчет за II квартал",1,0,trend,up,business,0,61,7,новатэк решить публиковать финансовый отчет ii квартал,NVTK
2022-08-25,"""НОВАТЭК"" консолидирует 100% ""Тернефтегаза"", выкупив 49% у TotalEnergies",1,0,trend,up,business,0,72,3,новатэк консолидировать выкупить,NVTK
2022-10-24,"""НОВАТЭК"" предложил согласовать опцию рублевых выплат по евробондам инвесторам, чьи права учитываются в инфраструктуре РФ",1,1,"trend,volatility",up_vol,business,0,121,11,новатэк предложить согласовать опция рублевый выплата евробонд инвестор право учитываться инфраструктура,NVTK
2023-01-16,"""НОВАТЭК"" в 2022 году увеличил добычу газа почти на 3%",-1,0,trend,down,business,0,54,7,новатэк 2022 год увеличить добыча газ почти,NVTK
2023-01-16,"""НОВАТЭК"" в 2022 году увеличил добычу газа почти на 3%",-1,0,trend,down,business,0,54,7,новатэк 2022 год увеличить добыча газ почти,NVTK
2023-01-16,"""НОВАТЭК"" в 2022 году увеличил добычу газа почти на 3%",-1,0,trend,down,business,0,54,7,новатэк 2022 год увеличить добыча газ почти,NVTK
2023-04-10,"Польша выставила на продажу активы польской ""дочки"" ""НОВАТЭКа""",-1,1,"trend,volatility",down_vol,world,0,62,5,выставить продажа актив польский дочка,NVTK
2023-04-10,"Польша выставила на продажу активы польской ""дочки"" ""НОВАТЭКа""",-1,1,"trend,volatility",down_vol,world,0,62,5,выставить продажа актив польский дочка,NVTK
2023-04-10,"Польша выставила на продажу активы польской ""дочки"" ""НОВАТЭКа""",-1,1,"trend,volatility",down_vol,world,0,62,5,выставить продажа актив польский дочка,NVTK
2023-04-12,"""НОВАТЭК"" попросил поддержать освоение трудноизвлекаемых запасов газа",1,0,trend,up,business,0,69,7,новатэк попросить поддержать освоение трудноизвлекаемый запас газ,NVTK
2023-04-12,"""НОВАТЭК"" просит правительство адресно закрепить ресурсную базу под СПГ-проекты",1,0,trend,up,business,0,79,7,новатэк просить правительство адресно закрепить ресурсный база,NVTK
2023-04-12,"""НОВАТЭК"" попросил поддержать освоение трудноизвлекаемых запасов газа",1,0,trend,up,business,0,69,7,новатэк попросить поддержать освоение трудноизвлекаемый запас газ,NVTK
2023-04-12,"""НОВАТЭК"" просит правительство адресно закрепить ресурсную базу под СПГ-проекты",1,0,trend,up,business,0,79,7,новатэк просить правительство адресно закрепить ресурсный база,NVTK
2023-06-13,"""НОВАТЭК"" запатентовал свою технологию сжижения газа мощностью линии на 6 млн т/г",0,0,trend,neutral,business,0,81,10,новатэк запатентовать технология сжижение газ мощность линия млн т г,NVTK
2023-06-13,"""НОВАТЭК"" запатентовал свою технологию сжижения газа мощностью линии на 6 млн т/г",0,0,trend,neutral,business,0,81,10,новатэк запатентовать технология сжижение газ мощность линия млн т г,NVTK
2023-06-13,"""НОВАТЭК"" запатентовал свою технологию сжижения газа мощностью линии на 6 млн т/г",0,0,trend,neutral,business,0,81,10,новатэк запатентовать технология сжижение газ мощность линия млн т г,NVTK
2023-06-19,"""НОВАТЭК"" в этом году получит 2-3 новых газовоза Arc7",-1,0,trend,down,business,0,53,5,новатэк год получить новый газовоз,NVTK
2023-06-19,"""НОВАТЭК"" в этом году получит 2-3 новых газовоза Arc7",-1,0,trend,down,business,0,53,5,новатэк год получить новый газовоз,NVTK
2023-10-30,"Чистая прибыль ""НОВАТЭКа"" по РСБУ за 9 месяцев выросла более чем в 2 раза",-1,0,trend,down,business,1,73,6,чистый прибыль месяц вырасти более раз,NVTK
2024-01-09,"Перерегистрация ООО ""Обский аммиак"" ""НОВАТЭКа"" в Мурманске отражена в ЕГРЮЛ",1,0,trend,up,business,0,75,4,перерегистрация обский аммиак отразить,NVTK
2024-01-09,"Перерегистрация ООО ""Обский аммиак"" ""НОВАТЭКа"" в Мурманске отражена в ЕГРЮЛ",1,0,trend,up,business,0,75,4,перерегистрация обский аммиак отразить,NVTK
2024-02-08,"Акции ""НОВАТЭКа"" ускорили снижение после рекомендаций СД по дивидендам",-1,0,trend,down,business,-1,70,5,акция ускорить снижение рекомендация дивиденд,NVTK
2024-02-08,"СД ""НОВАТЭКа"" рекомендовал финальный дивиденд за 2023 г. в 44,09 руб. на акцию",-1,0,trend,down,business,0,78,6,рекомендовать финальный дивиденд г руб акция,NVTK
2024-02-21,"Британия ввела санкции против Зюзина и топ-менеджеров ""АЛРОСА"" и ""НОВАТЭКа""",0,0,trend,neutral,business,-1,75,4,ввести санкция топ-менеджер алрос,NVTK
2024-05-21,"""НОВАТЭК"" разместил бонды на $750 млн с расчетами в рублях",-1,0,trend,down,business,0,58,6,новатэк разместить бонд млн расчет рубль,NVTK
2024-05-21,"""НОВАТЭК"" разместил бонды на $750 млн с расчетами в рублях",-1,0,trend,down,business,0,58,6,новатэк разместить бонд млн расчет рубль,NVTK
2024-05-21,"""НОВАТЭК"" разместил бонды на $750 млн с расчетами в рублях",-1,0,trend,down,business,0,58,6,новатэк разместить бонд млн расчет рубль,NVTK
2024-06-11,"США ввели санкции против РНПК, структур НОВАТЭКа, Гознака, банка ""Точка""",-1,0,trend,down,business,-1,72,5,ввести санкция структура банк точка,NVTK
2024-06-11,"США ввели санкции против РНПК, структур НОВАТЭКа, Гознака, банка ""Точка""",-1,0,trend,down,business,-1,72,5,ввести санкция структура банк точка,NVTK
2024-09-09,"""НОВАТЭК"" заявил, что не занимается формированием теневого флота для ""Арктик СПГ 2""",-1,0,trend,down,russia,0,83,6,новатэк заявить заниматься формирование теневой флот,NVTK
2024-09-09,"""НОВАТЭК"" заявил, что не занимается формированием теневого флота для ""Арктик СПГ 2""",-1,0,trend,down,russia,0,83,6,новатэк заявить заниматься формирование теневой флот,NVTK
2024-09-09,"""НОВАТЭК"" заявил, что не занимается формированием теневого флота для ""Арктик СПГ 2""",-1,0,trend,down,russia,0,83,6,новатэк заявить заниматься формирование теневой флот,NVTK
