date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-11-08,"CEO ""ФосАгро"" не ждет негативных последствий от квот на экспорт удобрений",0,0,trend,neutral,business,1,73,6,ждать негативный последствие квота экспорт удобрение,PHOR
2021-12-16,"CEO ""ФосАгро"" предложил обсудить вопрос об обязательной COVID-вакцинации",-1,1,"trend,volatility",down_vol,russia,0,72,5,предложить обсудить вопрос обязательный covid-вакцинация,PHOR
2022-02-08,"Акции ""ФосАгро"" выросли на 5,7% на новостях о дивидендах",1,0,trend,up,business,0,56,4,акция вырасти новость дивиденд,PHOR
2022-02-08,"Рекомендация СД ""ФосАгро"" по дивидендам оказалась существенно выше ожиданий экспертов",1,0,trend,up,business,0,85,7,рекомендация дивиденд оказаться существенно выше ожидание эксперт,PHOR
2022-08-17,"Совет директоров ""ФосАгро"" рекомендовал выплатить 780 руб. на акцию",0,0,trend,neutral,business,0,67,5,директор рекомендовать выплатить руб акция,PHOR
2022-12-20,Capex ФосАгро в 2023 году превысит 66 млрд рублей,1,0,trend,up,business,0,49,5,2023 год превысить млрд рубль,PHOR
2023-03-02,"Рынок акций РФ в пятницу превысил 2270 п. во главе с ""ФосАгро"", неделя закрылась ростом",1,1,"trend,volatility",up_vol,business,0,87,9,рынок акция пятница превысить п глава неделя закрыться рост,PHOR
2023-03-02,"Скорректированная EBITDA ""ФосАгро"" в IV квартале упала на 28%, ниже прогноза",1,1,"trend,volatility",up_vol,business,0,76,6,скорректировать iv квартал упасть ниже прогноз,PHOR
2023-10-02,"Акционеры ""ФосАгро"" не приняли решение о выплате промежуточных дивидендов",-1,0,trend,down,business,0,73,6,акционер принять решение выплата промежуточный дивиденд,PHOR
2024-11-06,"""ФосАгро"" повысила ориентир по capex на 2024 год с 73 до 75 млрд рублей",1,1,"trend,volatility",up_vol,business,0,71,7,повысить ориентир capex 2024 год млрд рубль,PHOR
2024-11-06,"СД ""ФосАгро"" рекомендовал промежуточные дивиденды в 249 руб. на акцию",1,1,"trend,volatility",up_vol,business,1,69,5,рекомендовать промежуточный дивиденд руб акция,PHOR
2024-11-18,"""ФосАгро"" отказалась от идеи полномасштабной карбоновой фермы",-1,1,"trend,volatility",down_vol,business,0,61,5,отказаться идея полномасштабный карбоновый ферма,PHOR
2024-11-18,"""ФосАгро"" отказалась от идеи полномасштабной карбоновой фермы",-1,1,"trend,volatility",down_vol,business,0,61,5,отказаться идея полномасштабный карбоновый ферма,PHOR
2025-03-26,"""ФосАгро"" в 2025 году сократит capex на 20% до порядка 60 млрд рублей",-1,0,trend,down,business,0,69,7,2025 год сократить capex порядок млрд рубль,PHOR
