date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-11,"""Варьеганнефтегаз"" покинул группу ""Роснефти""",0,0,trend,neutral,business,0,44,3,варьеганнефтегаз покинуть группа,ROSN
2021-01-11,"""Роснефть"" открыла в Якутии новое крупное газовое месторождение",0,0,trend,neutral,russia,0,63,5,открыть новый крупный газовый месторождение,ROSN
2021-01-11,"""Варьеганнефтегаз"" покинул группу ""Роснефти""",0,0,trend,neutral,business,0,44,3,варьеганнефтегаз покинуть группа,ROSN
2021-01-11,"""Роснефть"" открыла в Якутии новое крупное газовое месторождение",0,0,trend,neutral,russia,0,63,5,открыть новый крупный газовый месторождение,ROSN
2021-02-11,"Выплаты правлению ""Роснефти"" в 2020 г. сохранились на уровне 3,5 млрд руб.",1,0,trend,up,business,0,74,8,выплата правление 2020 г сохраниться уровень млрд руб,ROSN
2021-02-11,"""Роснефть"" снова перенесла ввод Харампурского месторождения",1,0,trend,up,russia,0,59,5,снова перенести ввод харампурский месторождение,ROSN
2021-02-11,"""Роснефть"" снизит добычу в 2021 году на 5%",1,0,trend,up,russia,0,42,5,роснефть снизить добыча 2021 год,ROSN
2021-03-02,"Экс-глава МИД Австрии Кнайсль выдвинута в совет директоров ""Роснефти""",1,0,trend,up,business,0,69,4,экс-глава выдвинуть совет директор,ROSN
2021-03-15,"Польская Orlen подписала контракт с ""Роснефтью"" на поставку 3,6 млн тонн нефти",0,0,trend,neutral,business,0,78,7,польский подписать контракт поставка млн тонна нефть,ROSN
2021-03-15,"Польская Orlen подписала контракт с ""Роснефтью"" на поставку 3,6 млн тонн нефти",0,0,trend,neutral,business,0,78,7,польский подписать контракт поставка млн тонна нефть,ROSN
2021-05-04,"""Роснефть"" вышла из проектов во Вьетнаме",0,0,trend,neutral,business,0,40,2,выйти проект,ROSN
2021-05-11,"""Дочка"" ""Роснефти"" отсудила 4 млн рублей за пьяных строителей на ""Роспане""",1,0,trend,up,russia,0,74,6,дочка отсудить млн рубль пьяный строитель,ROSN
2021-07-16,"Доля оборотной воды в производстве ""Роснефти"" в 2020 году достигла 94%",-1,0,trend,down,business,0,70,7,доля оборотный вода производство 2020 год достигнуть,ROSN
2021-07-16,"Лицензии на 42 месторождения ""дочки"" ""Роснефти"" достались ""внучке""",-1,0,trend,down,business,0,66,4,месторождение дочка достаться внучка,ROSN
2021-07-16,"""Славнефть"" снова не заплатит дивиденды ""Роснефти"" и ""Газпром нефти""",-1,0,trend,down,business,1,68,4,снова заплатить дивиденд нефть,ROSN
2021-07-16,"""Роснефть"" сменила глав сбытовых ""дочек"" в Архангельске, Туле и Ставрополе",-1,0,trend,down,business,0,74,4,сменить глава сбытовый дочка,ROSN
2021-07-16,"""Роснефть"" перерегистрировала из Москвы в Дудинку дочку ""Таймырнефтегаза""",-1,0,trend,down,business,0,73,3,перерегистрировать дудинка дочка,ROSN
2021-07-16,"""Роснефть"" в I полугодии в 2 раза перевыполнила нормативы продаж бензина и дизтоплива на бирже",-1,0,trend,down,business,0,94,9,i полугодие раз перевыполнить норматив продажа бензин дизтопливо биржа,ROSN
2021-07-19,"""Роснефть"" за год рекультивировала около 15 тыс. га земель",-1,0,trend,down,business,0,58,5,год рекультивировать тыс га земля,ROSN
2021-09-07,"""Роснефть"" вернула себе 3-е место в РФ по уровню капитализации",0,0,trend,neutral,business,0,62,5,вернуть 3-й место уровень капитализация,ROSN
2021-09-08,"Суд отложил апелляцию ""Роснефти"" на взыскание 5,8 млрд руб. экспортных пошлин",0,0,trend,neutral,business,0,77,8,суд отложить апелляция взыскание млрд руб экспортный пошлина,ROSN
2021-10-04,"""Роснефть"" объявила годовой тендер на экспорт до 5,6 млн тонн БГС",1,0,trend,up,business,1,65,6,объявить годовой тендер экспорт млн тонна,ROSN
2021-12-01,"Суд взыскал с ""Роснефти"" 6,6 млн рублей в пользу ""СервисТЭК-Бурение""",0,0,trend,neutral,business,0,68,6,суд взыскать млн рубль польза сервистэк-бурение,ROSN
2022-01-11,"""Роснефть"" выступила против урезания прав ""квазиказначеек""",0,1,"trend,volatility",neutral_vol,business,0,58,4,выступить урезание право квазиказначеек,ROSN
2022-01-11,"""Роснефть"" выступила против урезания прав ""квазиказначеек""",0,1,"trend,volatility",neutral_vol,business,0,58,4,выступить урезание право квазиказначеек,ROSN
2022-01-24,"""Роснефть"" выставила на полугодовой тендер до 11,3 млн тонн нефти",0,0,trend,neutral,business,0,65,6,выставить полугодовой тендер млн тонна нефть,ROSN
2022-01-24,"""Роснефть"" выставила на полугодовой тендер до 11,3 млн тонн нефти",0,0,trend,neutral,business,0,65,6,выставить полугодовой тендер млн тонна нефть,ROSN
2022-04-27,"Индия попросила свои компании оценить покупку доли BP в ""Роснефти"" и доли Exxon в ""Сахалине-1""",0,0,trend,neutral,world,0,94,6,попросить компания оценить покупка доля доля,ROSN
2022-05-04,"ВР отразила убыток в $24 млрд от выхода из ""Роснефти""",0,0,trend,neutral,business,-1,53,4,отразить убыток млрд выход,ROSN
2022-05-24,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,1,"trend,volatility",up_vol,business,0,74,6,директор сформулировать рекомендация дивиденд 25 май,ROSN
2022-05-24,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,1,"trend,volatility",up_vol,business,0,74,6,директор сформулировать рекомендация дивиденд 25 май,ROSN
2022-05-24,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,1,"trend,volatility",up_vol,business,0,74,6,директор сформулировать рекомендация дивиденд 25 май,ROSN
2022-06-20,"""Роснефть"" открыла в Оренбуржье новые месторождения запасами 2,2 млн т нефти",-1,0,trend,down,business,0,76,6,открыть новый месторождение запас млн нефть,ROSN
2022-06-28,"""Роснефть"" открыла крупное нефтяное месторождение на шельфе Печорского моря",-1,1,"trend,volatility",down_vol,business,0,75,7,открыть крупный нефтяной месторождение шельф печорский море,ROSN
2022-06-28,"""Роснефть"" открыла крупное нефтяное месторождение на шельфе Печорского моря",-1,1,"trend,volatility",down_vol,business,0,75,7,открыть крупный нефтяной месторождение шельф печорский море,ROSN
2022-09-12,"""Роснефть"" увеличила объем размещения бондов до 15 млрд юаней",0,0,trend,neutral,business,0,61,6,увеличить объем размещение бонд млрд юань,ROSN
