date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-02-12,"Выплаты правлению ""Роснефти"" в 2020 г. сохранились на уровне 3,5 млрд руб.",1,0,trend,up,business,ROSN
2021-02-12,"""Роснефть"" снова перенесла ввод Харампурского месторождения",1,0,trend,up,russia,ROSN
2021-02-12,"""Роснефть"" снизит добычу в 2021 году на 5%",1,0,trend,up,russia,ROSN
2021-03-03,"Экс-глава МИД Австрии Кнайсль выдвинута в совет директоров ""Роснефти""",1,0,none,up,business,ROSN
2021-03-03,"Экс-глава МИД Австрии Кнайсль выдвинута в совет директоров ""Роснефти""",1,0,none,up,business,ROSN
2021-03-16,"Польская Orlen подписала контракт с ""Роснефтью"" на поставку 3,6 млн тонн нефти",-1,0,trend,down,business,ROSN
2021-03-16,"Польская Orlen подписала контракт с ""Роснефтью"" на поставку 3,6 млн тонн нефти",-1,0,trend,down,business,ROSN
2021-05-04,"""Роснефть"" вышла из проектов во Вьетнаме",0,0,trend,neutral,business,ROSN
2021-05-12,"""Дочка"" ""Роснефти"" отсудила 4 млн рублей за пьяных строителей на ""Роспане""",0,0,none,neutral,russia,ROSN
2021-06-03,"""Роснефть"" и ""Норникель"" будут сотрудничать в рамках проекта ""Восток Ойл""",0,0,none,neutral,business,ROSN
2021-06-03,"""Интер РАО"" и ""Роснефть"" намерены построить объекты электрогенерации для ""Восток Ойла""",0,0,none,neutral,business,ROSN
2021-06-08,"Катарский фонд сократил пакет в ""Роснефти"" до 18,46% голосов",-1,0,none,down,russia,ROSN
2021-06-08,"Катарский фонд сократил пакет в ""Роснефти"" до 18,46% голосов",-1,0,none,down,russia,ROSN
2021-07-05,"""Роснефть"" реорганизовала АО ""РН-Няганьнефтегаз""",1,0,trend,up,business,ROSN
2021-08-13,"Правлению ""Роснефти"" во II квартале 2021 г. выплатили премии на 2,3 млрд руб.",1,0,none,up,business,ROSN
2021-08-13,"""Роснефть"" до конца года начнет предпусковые наладочные работы второго этапа на ""Роспане""",1,0,none,up,business,ROSN
2021-09-08,"""Роснефть"" вернула себе 3-е место в РФ по уровню капитализации",-1,0,trend,down,business,ROSN
2021-09-08,"""Роснефть"" вернула себе 3-е место в РФ по уровню капитализации",-1,0,trend,down,business,ROSN
2021-09-09,"Суд отложил апелляцию ""Роснефти"" на взыскание 5,8 млрд руб. экспортных пошлин",1,0,none,up,business,ROSN
2021-10-05,"""Роснефть"" объявила годовой тендер на экспорт до 5,6 млн тонн БГС",-1,0,none,down,business,ROSN
2021-10-20,Глава Роснефти и посол Италии в Москве обсудили возможности будущих проектов,0,0,trend,neutral,business,ROSN
2021-10-20,"Структура ""Роснефти"" продает участок нефтебазы в Ростове-на-Дону за 250 млн рублей",0,0,trend,neutral,business,ROSN
2021-12-02,"Суд взыскал с ""Роснефти"" 6,6 млн рублей в пользу ""СервисТЭК-Бурение""",0,0,none,neutral,business,ROSN
2022-01-12,"""Роснефть"" выступила против урезания прав ""квазиказначеек""",-1,1,volatility,down_vol,business,ROSN
2022-01-12,"""Роснефть"" выступила против урезания прав ""квазиказначеек""",-1,1,volatility,down_vol,business,ROSN
2022-01-24,"""Роснефть"" выставила на полугодовой тендер до 11,3 млн тонн нефти",0,0,none,neutral,business,ROSN
2022-01-24,"""Роснефть"" выставила на полугодовой тендер до 11,3 млн тонн нефти",0,0,none,neutral,business,ROSN
2022-02-07,"На тюменском месторождении ""Роснефти"" погиб человек",0,0,none,neutral,russia,ROSN
2022-04-28,"Индия попросила свои компании оценить покупку доли BP в ""Роснефти"" и доли Exxon в ""Сахалине-1""",0,1,volatility,neutral_vol,world,ROSN
2022-05-25,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,0,none,up,business,ROSN
2022-05-25,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,0,none,up,business,ROSN
2022-05-25,"Совет директоров ""Роснефти"" сформулирует рекомендации по дивидендам 25 мая",1,0,none,up,business,ROSN
2022-06-01,"BCS GM предупредил ""Роснефть"" и ""Газпром"" о возможной необходимости сократить дивиденды",-1,0,none,down,business,ROSN
2022-06-21,"""Роснефть"" открыла в Оренбуржье новые месторождения запасами 2,2 млн т нефти",0,0,none,neutral,business,ROSN
2022-06-29,"""Роснефть"" открыла крупное нефтяное месторождение на шельфе Печорского моря",-1,1,volatility,down_vol,business,ROSN
2022-06-29,"""Роснефть"" открыла крупное нефтяное месторождение на шельфе Печорского моря",-1,1,volatility,down_vol,business,ROSN
2022-09-15,"NIOC готова привлечь ""Газпром"", ""Роснефть"" и ""Татнефть"" к разработке месторождений в Иране",-1,0,trend,down,business,ROSN
2023-02-20,"Росимущество продает 12% ""Роснефти-Артаг"" в Северной Осетии за 51,4 млн рублей",1,0,none,up,business,ROSN
2023-03-14,"""Мосбиржа"" зарегистрировала бонды ""Роснефти"" объемом от 13,5 млрд юаней",-1,0,none,down,business,ROSN
2023-03-14,"""Роснефть"" не смогла в суде ФРГ оспорить передачу трех НПЗ во внешнее управление",-1,0,none,down,world,ROSN
2023-03-15,"""Роснефть"" установила объем размещения бондов в размере 15 млрд юаней",0,0,none,neutral,business,ROSN
2023-05-31,"В ХМАО выставлен на торги Лебяжий участок рядом с активами ""Роснефти"" и ""Газпром нефти""",1,0,none,up,business,ROSN
2023-05-31,"""Роснефть"" полностью погасила три выпуска облигаций общим объемом 40 млрд рублей",1,0,none,up,business,ROSN
2023-05-31,"В ХМАО выставлен на торги Лебяжий участок рядом с активами ""Роснефти"" и ""Газпром нефти""",1,0,none,up,business,ROSN
2023-05-31,"""Роснефть"" полностью погасила три выпуска облигаций общим объемом 40 млрд рублей",1,0,none,up,business,ROSN
2023-06-21,"""Роснефть"" восполнит Монголии недопоставленные из-за затора на ж/д нефтепродукты",-1,0,none,down,business,ROSN
2023-08-29,"Чистая прибыль ""Роснефти"" по МСФО в I полугодии составила 652 млрд рублей",0,0,none,neutral,russia,ROSN
2024-02-19,"Соотношение чистый долг/EBITDA ""Роснефти"" в 2023 году сократилось до 0,9х с 1,3х",-1,0,none,down,russia,ROSN
2024-02-19,"Добыча жидких углеводородов ""Роснефти"" в 2023 году составила 193,6 млн т",-1,0,none,down,business,ROSN
2024-02-19,"Годовая чистая прибыль ""Роснефти"" по МСФО составила 1,267 трлн рублей",-1,0,none,down,business,ROSN
2024-02-19,"Соотношение чистый долг/EBITDA ""Роснефти"" в 2023 году сократилось до 0,9х с 1,3х",-1,0,none,down,russia,ROSN
2024-02-19,"Добыча жидких углеводородов ""Роснефти"" в 2023 году составила 193,6 млн т",-1,0,none,down,business,ROSN
2024-02-19,"Годовая чистая прибыль ""Роснефти"" по МСФО составила 1,267 трлн рублей",-1,0,none,down,business,ROSN
2024-07-31,"""Роснефть"" в 2023 году проиндексировала зарплату работников на 5,5%",-1,0,trend,down,business,ROSN
2024-07-31,"""Роснефть"" к 2035 году планирует рекультивировать все земли ""исторического наследия""",-1,0,trend,down,russia,ROSN
2024-09-02,"ФРГ вновь продлила внешнее управление активами ""Роснефти"", теперь до 10 марта",1,0,none,up,world,ROSN
2024-09-02,"ФРГ вновь продлила внешнее управление активами ""Роснефти"", теперь до 10 марта",1,0,none,up,world,ROSN
2024-09-02,"ФРГ вновь продлила внешнее управление активами ""Роснефти"", теперь до 10 марта",1,0,none,up,world,ROSN
2024-12-26,"Акционеры ""Роснефти"" утвердили промежуточные дивиденды в 36,47 руб./а",1,0,trend,up,business,ROSN
2024-12-27,"СД ""Роснефти"" продлил полномочия Сечина в должности главного исполнительного директора на 5 лет",1,0,none,up,russia,ROSN
