date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-08-10,"""Татнефть"" увеличила предложение топлива на бирже и нарастит отгрузки потребителям РФ",0,0,trend,neutral,russia,0,85,7,увеличить предложение топливо биржа нарастить отгрузка потребитель,TATN
2021-08-10,"""Татнефть"" увеличила предложение топлива на бирже и нарастит отгрузки потребителям РФ",0,0,trend,neutral,russia,0,85,7,увеличить предложение топливо биржа нарастить отгрузка потребитель,TATN
2022-01-10,"ФАС разрешила ""Татнефти"" покупку шести нефтесервисных компаний у ""Таграса""",1,0,trend,up,business,0,74,4,разрешить покупка нефтесервисный компания,TATN
2022-01-10,"ФАС разрешила ""Татнефти"" покупку шести нефтесервисных компаний у ""Таграса""",1,0,trend,up,business,0,74,4,разрешить покупка нефтесервисный компания,TATN
2022-01-10,"ФАС разрешила ""Татнефти"" покупку шести нефтесервисных компаний у ""Таграса""",1,0,trend,up,business,0,74,4,разрешить покупка нефтесервисный компания,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,trend,down,business,0,62,5,отрицать проблема производство шина санкция,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,trend,down,business,0,62,5,отрицать проблема производство шина санкция,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,trend,down,business,0,62,5,отрицать проблема производство шина санкция,TATN
2022-06-16,"Арестованные на Украине активы ""Татнефти"" переданы в управление государству",-1,0,trend,down,world,0,75,5,арестовать актив передать управление государство,TATN
2023-03-15,"Nokian Tyres получила от ""Татнефти"" 285 млн евро за шинный бизнес в РФ",1,0,trend,up,business,0,70,5,получить млн евро шинный бизнес,TATN
2023-03-21,"Активы ""Татнефтехиминвест-холдинга"" в 2022 г. выросли в 4 раза после покупки шинной группы ""Татнефти""",-1,0,trend,down,business,0,101,8,актив 2022 г вырасти раз покупка шинный группа,TATN
2023-03-21,"Активы ""Татнефтехиминвест-холдинга"" в 2022 г. выросли в 4 раза после покупки шинной группы ""Татнефти""",-1,0,trend,down,business,0,101,8,актив 2022 г вырасти раз покупка шинный группа,TATN
2023-03-27,"Шинный завод Nokian Tyres в Ленобласти перешел в собственность ""Татнефти""",1,0,trend,up,business,0,73,4,шинный завод перейти собственность,TATN
2023-03-27,"Шинный завод Nokian Tyres в Ленобласти перешел в собственность ""Татнефти""",1,0,trend,up,business,0,73,4,шинный завод перейти собственность,TATN
2023-04-18,"Турецкая антимонопольная служба разрешила ""Татнефти"" приобрести Aytemiz Akaryakit",1,0,trend,up,business,0,81,5,турецкий антимонопольный служба разрешить приобрести,TATN
2023-04-18,"Турецкая антимонопольная служба разрешила ""Татнефти"" приобрести Aytemiz Akaryakit",1,0,trend,up,business,0,81,5,турецкий антимонопольный служба разрешить приобрести,TATN
2023-08-14,"СД ""Татнефти"" рекомендовал дивиденды за I полугодие в 27,54 руб. на акцию",-1,0,trend,down,business,1,73,6,рекомендовать дивиденд i полугодие руб акция,TATN
2023-08-14,"СД ""Татнефти"" рекомендовал дивиденды за I полугодие в 27,54 руб. на акцию",-1,0,trend,down,business,1,73,6,рекомендовать дивиденд i полугодие руб акция,TATN
2023-11-20,"Рынок акций РФ подрос к 3220п по индексу МосБиржи во главе с Ozon и ""Татнефтью""",1,0,trend,up,business,0,79,7,рынок акция подрасти п индекс мосбиржи глава,TATN
2023-11-20,"СД ""Татнефти"" рекомендовал дивиденды за III кв. - 35,17 руб. на все виды акций",1,0,trend,up,business,1,78,7,рекомендовать дивиденд iii кв руб вид акция,TATN
2023-11-20,"Рынок акций РФ подрос к 3220п по индексу МосБиржи во главе с Ozon и ""Татнефтью""",1,0,trend,up,business,0,79,7,рынок акция подрасти п индекс мосбиржи глава,TATN
2023-11-20,"СД ""Татнефти"" рекомендовал дивиденды за III кв. - 35,17 руб. на все виды акций",1,0,trend,up,business,1,78,7,рекомендовать дивиденд iii кв руб вид акция,TATN
2023-12-14,"Нефть из скважины ""Татнефти"" попала в реку в Татарстане",1,0,trend,up,russia,0,55,4,нефть скважина попасть река,TATN
2024-08-13,"Акции ""Татнефти"" дорожают на 2,3-2,5% на рекомендации СД о дивидендах за I полугодие",0,0,trend,neutral,business,0,84,6,акция дорожать рекомендация дивиденд i полугодие,TATN
2024-08-13,"Акции ""Татнефти"" дорожают на 2,3-2,5% на рекомендации СД о дивидендах за I полугодие",0,0,trend,neutral,business,0,84,6,акция дорожать рекомендация дивиденд i полугодие,TATN
2024-08-13,"Акции ""Татнефти"" дорожают на 2,3-2,5% на рекомендации СД о дивидендах за I полугодие",0,0,trend,neutral,business,0,84,6,акция дорожать рекомендация дивиденд i полугодие,TATN
