date,title,label,label_volatility,impact_type,impact_class,section,ticker
2022-01-10,"ФАС разрешила ""Татнефти"" покупку шести нефтесервисных компаний у ""Таграса""",1,0,none,up,business,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,none,down,business,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,none,down,business,TATN
2022-03-28,"""Татнефть"" отрицает проблемы с производством шин из-за санкций",-1,0,none,down,business,TATN
2022-06-17,"Арестованные на Украине активы ""Татнефти"" переданы в управление государству",1,0,none,up,world,TATN
2023-03-16,"Nokian Tyres получила от ""Татнефти"" 285 млн евро за шинный бизнес в РФ",1,0,trend,up,business,TATN
2023-03-22,"Активы ""Татнефтехиминвест-холдинга"" в 2022 г. выросли в 4 раза после покупки шинной группы ""Татнефти""",0,0,trend,neutral,business,TATN
2023-04-05,Татнефть может купить 50% турецкой топливной компании Aytemiz Akaryakit за $160 млн,1,0,trend,up,world,TATN
2023-04-19,"Турецкая антимонопольная служба разрешила ""Татнефти"" приобрести Aytemiz Akaryakit",1,0,none,up,business,TATN
2023-08-15,"СД ""Татнефти"" рекомендовал дивиденды за I полугодие в 27,54 руб. на акцию",0,0,trend,neutral,business,TATN
2023-10-13,"""Татнефть"" вложит 91 млрд руб. в строительство завода терефталевой кислоты",0,0,none,neutral,business,TATN
2023-11-21,"Рынок акций РФ подрос к 3220п по индексу МосБиржи во главе с Ozon и ""Татнефтью""",1,0,trend,up,business,TATN
2023-11-21,"СД ""Татнефти"" рекомендовал дивиденды за III кв. - 35,17 руб. на все виды акций",1,0,trend,up,business,TATN
2023-12-15,"Нефть из скважины ""Татнефти"" попала в реку в Татарстане",1,0,trend,up,russia,TATN
