date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-12,"""Транснефть"" выступила против учета выпадающих доходов Белоруссии в тарифах на транзит",0,0,trend,neutral,business,0,86,7,транснефть выступить учет выпадать доход тариф транзит,TRNFP
2021-07-05,"Аналитики предупредили о возможных рисках для ""Транснефти"" из-за ""Восток Ойла""",0,0,trend,neutral,russia,0,78,5,аналитик предупредить возможный риск восток,TRNFP
2022-06-09,"""Транснефть"" может направить на дивиденды за 2021 год 76 млрд рублей",0,1,"trend,volatility",neutral_vol,business,1,68,8,транснефть мочь направить дивиденд 2021 год млрд рубль,TRNFP
2023-05-31,"Белоруссия предложила ""Транснефти"" повысить тарифы на прокачку нефти в 1,8 раза",0,1,"trend,volatility",neutral_vol,business,0,79,6,предложить повысить тариф прокачка нефть раз,TRNFP
2023-09-11,"Совет директоров ""Транснефти"" 15 сентября рассмотрит вопрос дробления акций",1,0,trend,up,business,0,75,7,директор 15 сентябрь рассмотреть вопрос дробление акция,TRNFP
2024-02-12,"""Транснефть"" просит запретить структуре Магомедова инициировать судебное разбирательство",-1,1,"trend,volatility",down_vol,business,0,88,7,транснефть просить запретить структура инициировать судебный разбирательство,TRNFP
2024-11-20,"Бюджет РФ может получить от повышения налога на прибыль для ""Транснефти"" 20-40 млрд руб. в год",-1,0,trend,down,business,1,94,9,бюджет мочь получить повышение налог прибыль млрд руб год,TRNFP
2024-11-20,"В Минфине повышение ставки по налогу на прибыль для ""Транснефти"" объяснили ее монопольным положением",-1,0,trend,down,business,1,100,7,повышение ставка налог прибыль объяснить монопольный положение,TRNFP
2024-11-20,"""Префы"" ""Транснефти"" упали на 10,5% на одобрении комитетом ГД повышения налога на ее прибыль до 40%",-1,0,trend,down,business,1,99,7,преф упасть одобрение комитет повышение налог прибыль,TRNFP
2024-11-20,"Комитет Думы одобрил повышение до 40% налога на прибыль ""Транснефти"" на 6 лет",-1,0,trend,down,business,1,77,6,комитет одобрить повышение налог прибыль год,TRNFP
2024-12-05,"Бюджет ждет от ""Транснефти"" дивидендов в 50% от прибыли, несмотря на рост налога",1,0,trend,up,russia,1,80,7,бюджет ждать дивиденд прибыль несмотря рост налог,TRNFP
2024-12-10,"""Транснефть"" с 2025 года повысит тарифы длительного хранения нефтепродуктов",0,0,trend,neutral,business,0,75,8,транснефть 2025 год повысить тариф длительный хранение нефтепродукт,TRNFP
2025-03-10,"""Волгатранснефти"" отказано в передаче иска от Морспасслужбы в Арбитражный суд Москвы",0,0,trend,neutral,russia,0,84,5,отказать передача иск арбитражный суд,TRNFP
