date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-01-13,"""Транснефть"" выступила против учета выпадающих доходов Белоруссии в тарифах на транзит",1,0,none,up,business,TRNFP
2021-07-06,"Аналитики предупредили о возможных рисках для ""Транснефти"" из-за ""Восток Ойла""",-1,1,volatility,down_vol,russia,TRNFP
2023-06-01,"Белоруссия предложила ""Транснефти"" повысить тарифы на прокачку нефти в 1,8 раза",0,1,volatility,neutral_vol,business,TRNFP
2023-09-12,"Совет директоров ""Транснефти"" 15 сентября рассмотрит вопрос дробления акций",-1,0,none,down,business,TRNFP
2024-11-21,"Бюджет РФ может получить от повышения налога на прибыль для ""Транснефти"" 20-40 млрд руб. в год",-1,0,trend,down,business,TRNFP
2024-11-21,"В Минфине повышение ставки по налогу на прибыль для ""Транснефти"" объяснили ее монопольным положением",-1,0,trend,down,business,TRNFP
2024-11-21,"""Префы"" ""Транснефти"" упали на 10,5% на одобрении комитетом ГД повышения налога на ее прибыль до 40%",-1,0,trend,down,business,TRNFP
2024-11-21,"Комитет Думы одобрил повышение до 40% налога на прибыль ""Транснефти"" на 6 лет",-1,0,trend,down,business,TRNFP
2024-11-21,"Бюджет РФ может получить от повышения налога на прибыль для ""Транснефти"" 20-40 млрд руб. в год",-1,0,trend,down,business,TRNFP
2024-11-21,"В Минфине повышение ставки по налогу на прибыль для ""Транснефти"" объяснили ее монопольным положением",-1,0,trend,down,business,TRNFP
2024-11-21,"""Префы"" ""Транснефти"" упали на 10,5% на одобрении комитетом ГД повышения налога на ее прибыль до 40%",-1,0,trend,down,business,TRNFP
2024-11-21,"Комитет Думы одобрил повышение до 40% налога на прибыль ""Транснефти"" на 6 лет",-1,0,trend,down,business,TRNFP
2025-03-10,"""Волгатранснефти"" отказано в передаче иска от Морспасслужбы в Арбитражный суд Москвы",0,0,trend,neutral,russia,TRNFP
