date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-01-05,"Биржевой фонд ВТБ по итогам 2020 года закупил почти 0,3 т золота",-1,0,trend,down,business,VTBR
2021-01-11,"Суд удовлетворил иск ВТБ о взыскании 13,6 млрд руб. с ""Открытие холдинга""",1,0,none,up,business,VTBR
2021-02-04,ВТБ в декабре продал 3 тонны золота и эквивалента,1,0,none,up,business,VTBR
2021-02-04,ВТБ в декабре продал 3 тонны золота и эквивалента,1,0,none,up,business,VTBR
2021-02-10,ВТБ предупредил о последствиях излишних ограничений для частных инвесторов,1,0,none,up,business,VTBR
2021-02-20,"Набсовет ВТБ одобрил условия присоединения ""Возрождения"" к БМ-банку",-1,0,trend,down,business,VTBR
2021-02-20,"Набсовет ВТБ одобрил условия присоединения ""Возрождения"" к БМ-банку",-1,0,trend,down,business,VTBR
2021-03-02,Правительство РФ не стало менять своих представителей в набсовете ВТБ,-1,0,none,down,business,VTBR
2021-04-05,"""Зенит"" выиграл регулярный чемпионат Единой лиги ВТБ",-1,0,none,down,https:,VTBR
2021-04-05,"Индекс Мосбиржи просел к 3520п, бумаги ВТБ обновили максимум с февраля 2020г",-1,0,none,down,business,VTBR
2021-04-05,"""Зенит"" выиграл регулярный чемпионат Единой лиги ВТБ",-1,0,none,down,https:,VTBR
2021-04-05,"Индекс Мосбиржи просел к 3520п, бумаги ВТБ обновили максимум с февраля 2020г",-1,0,none,down,business,VTBR
2021-04-20,ВТБ открыл сбор заявок на облигации в рамках секьюритизации портфеля потребкредитов,1,1,volatility,up_vol,russia,VTBR
2021-04-20,Управляющий ВТБ в Нижегородской области умер на рабочем месте,1,1,volatility,up_vol,russia,VTBR
2021-04-20,"ВТБ купил 5% в ""Санкт-Петербургской бирже"" у ""НП РТС""",1,1,volatility,up_vol,russia,VTBR
2021-04-20,Годовое собрание акционеров ВТБ пройдет 4 июня,1,1,volatility,up_vol,business,VTBR
2021-04-20,ВТБ хочет к 2025 году удвоить число активных розничных клиентов,1,1,volatility,up_vol,business,VTBR
2021-04-22,ВТБ увеличил долю в гоночной трассе под Петербургом до 45%,1,1,"trend,volatility",up_vol,business,VTBR
2021-05-11,"ВТБ продал миноритарную долю в совладельце ""облачного"" СП с ""Ростелекомом""",0,0,none,neutral,russia,VTBR
2021-05-11,"ВТБ продал миноритарную долю в совладельце ""облачного"" СП с ""Ростелекомом""",0,0,none,neutral,russia,VTBR
2021-05-11,"ВТБ продал миноритарную долю в совладельце ""облачного"" СП с ""Ростелекомом""",0,0,none,neutral,russia,VTBR
2021-05-13,OR Group списала займы ВТБ на 324 млн рублей,-1,0,none,down,business,VTBR
2021-05-13,OR Group списала займы ВТБ на 324 млн рублей,-1,0,none,down,business,VTBR
2021-05-14,"""УНИКС"" вышел в полуфинал баскетбольной Единой лиги ВТБ",-1,0,trend,down,https:,VTBR
2021-05-27,"ВТБ сократит дивиденды на ""префы"" на 16,6% к первой рекомендации",1,1,volatility,up_vol,business,VTBR
2021-05-27,Руководство ВТБ прогнозирует годовую прибыль на уровне 270 млрд рублей,1,1,volatility,up_vol,business,VTBR
2021-05-27,"ВТБ сократит дивиденды на ""префы"" на 16,6% к первой рекомендации",1,1,volatility,up_vol,business,VTBR
2021-05-27,Руководство ВТБ прогнозирует годовую прибыль на уровне 270 млрд рублей,1,1,volatility,up_vol,business,VTBR
2021-05-28,"ВТБ в апреле увеличил запасы драгметаллов на 1,8 тонны",-1,1,volatility,down_vol,business,VTBR
2021-05-31,"ВТБ увеличил долю в ""Санкт-Петербургской"" бирже до 10,8%",0,0,none,neutral,business,VTBR
2021-06-16,"ВТБ закрыл сделку по продаже гостиницы ""Пекин"" в Москве",-1,1,"trend,volatility",down_vol,moscow,VTBR
2021-06-18,ВТБ оценил снижение спроса в общепите Москвы после ввода ограничений,0,0,none,neutral,moscow,VTBR
2021-07-12,ВТБ может заняться проектами в сфере развития социальной инфраструктуры в Петербурге,-1,0,trend,down,russia,VTBR
2021-07-12,ВТБ может заняться проектами в сфере развития социальной инфраструктуры в Петербурге,-1,0,trend,down,russia,VTBR
