date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-02-15,"Тиньков не против обсудить новое партнерство с ""Яндексом""",-1,0,trend,down,business,0,57,4,против обсудить новый партнерство,YNDX
2021-02-16,"ФАС проверит последствия для цен от слияния ""Яндекс.Такси"" и Uber",-1,0,trend,down,russia,0,65,4,проверить последствие цена слияние,YNDX
2021-02-16,"ФАС проверит последствия для цен от слияния ""Яндекс.Такси"" и Uber",-1,0,trend,down,russia,0,65,4,проверить последствие цена слияние,YNDX
2021-03-23,"ФАС предупредила о последствиях покупки ""Яндекс.Такси"" активов ""Везет""",-1,0,trend,down,business,0,70,5,предупредить последствие покупка актив везти,YNDX
2021-04-12,"""Яндекс"" заявил о планах отстаивать позицию по делу ФАС о продвижении сервисов",-1,1,"trend,volatility",down_vol,russia,0,78,7,заявить план отстаивать позиция дело продвижение сервис,YNDX
2021-04-12,"Акции ""Яндекса"" упали на ""Мосбирже"" на 5% на заявлении ФАС о возбуждении дела",-1,1,"trend,volatility",down_vol,business,0,77,5,акция упасть заявление возбуждение дело,YNDX
2021-04-12,"Антимонопольная служба возбудила дело против ""Яндекса""",-1,1,"trend,volatility",down_vol,business,0,54,4,антимонопольный служба возбудить дело,YNDX
2021-06-14,"""Яндекс"" намерен представить первые кредитные продукты в 2022 году",-1,1,"trend,volatility",down_vol,business,0,66,7,намеренный представить первый кредитный продукт 2022 год,YNDX
2021-07-06,Romex Group намерена построить под Казанью логоцентры для Яндекса и Сбер.Логистики,0,0,trend,neutral,business,0,82,4,намерен построить логоцентр логистика,YNDX
2021-07-08,"""Яндекс"" выйдет из сделки по покупке KupiVIP",0,0,trend,neutral,business,0,44,3,выйти сделка покупка,YNDX
2021-08-16,"""Яндекс"" выделит логистику ""Яндекс.Маркета"" в отдельную компанию",0,0,trend,neutral,business,0,64,4,выделить логистика отдельный компания,YNDX
2021-09-27,"Правительство выбрало ""Яндекс.Поиск"" для предустановки на гаджеты в РФ в 2022 г.",-1,0,trend,down,russia,0,80,7,правительство выбрать поиск предустановка гаджет 2022 г,YNDX
2021-09-27,"""Яндекс"" переименовал банк ""Акрополь""",-1,0,trend,down,business,0,37,3,переименовать банк акрополь,YNDX
2021-12-13,"Суд в Волгограде оштрафовал бастующих таксистов ""Яндекса""",0,0,trend,neutral,russia,0,57,4,суд оштрафовать бастовать таксист,YNDX
2022-01-17,"""Яндекс"" договорился о мировой с инициаторами дела ""колдунщиков""",-1,0,trend,down,business,0,64,5,договориться мировой инициатор дело колдунщик,YNDX
2022-01-17,"""Яндекс"" договорился о мировой с инициаторами дела ""колдунщиков""",-1,0,trend,down,business,0,64,5,договориться мировой инициатор дело колдунщик,YNDX
2022-06-06,"Рынок акций РФ начал неделю с отката во главе с ""Яндексом"" из-за опасения новых санкций",1,0,trend,up,business,0,87,9,рынок акция начать неделя откат глава опасение новый санкция,YNDX
2022-06-06,"Рынок акций РФ начал неделю с отката во главе с ""Яндексом"" из-за опасения новых санкций",1,0,trend,up,business,0,87,9,рынок акция начать неделя откат глава опасение новый санкция,YNDX
2022-06-27,"ЕЭК и ""Яндекс"" договорились о политике удаления пиратских ссылок из поиска",-1,0,trend,down,digital,0,74,6,договориться политика удаление пиратский ссылка поиск,YNDX
2022-06-27,"ЕЭК и ""Яндекс"" договорились о политике удаления пиратских ссылок из поиска",-1,0,trend,down,digital,0,74,6,договориться политика удаление пиратский ссылка поиск,YNDX
2022-07-06,"Бывший гендиректор ""Яндекс Лавки"" Илья Красильщик объявлен в розыск",1,0,trend,up,russia,0,67,5,бывший гендиректор яндекс объявить розыск,YNDX
