date,title,label,label_volatility,impact_type,impact_class,section,ticker
2021-01-12,"""Яндекс"" покажет матчи стартующего сезона НХЛ",-1,0,trend,down,https:,YNDX
2021-01-14,"Подписчики ""Яндекс.Плюса"" смогут получать кэшбэк за заказ у ритейлеров и кафе",-1,0,none,down,business,YNDX
2021-01-14,"Антимонопольный блок ЕЭК начал проверку в отношении ""Яндекса"" и Mail.ru",-1,0,none,down,business,YNDX
2021-01-15,"""Яндекс"" снова решил судиться за товарный знак ""Афиша""",1,0,none,up,russia,YNDX
2021-03-24,"ФАС предупредила о последствиях покупки ""Яндекс.Такси"" активов ""Везет""",-1,0,trend,down,business,YNDX
2021-04-01,"Ветеран ""Яндекса"" в 2020 году продал около 0,4% компании",0,0,trend,neutral,russia,YNDX
2021-04-01,"""Яндекс"" поучаствовал в IPO нескольких SPAC, вложив около $130 млн",0,0,trend,neutral,business,YNDX
2021-04-13,"""Яндекс"" заявил о планах отстаивать позицию по делу ФАС о продвижении сервисов",1,0,trend,up,russia,YNDX
2021-04-13,"Акции ""Яндекса"" упали на ""Мосбирже"" на 5% на заявлении ФАС о возбуждении дела",1,0,trend,up,business,YNDX
2021-04-13,"Антимонопольная служба возбудила дело против ""Яндекса""",1,0,trend,up,business,YNDX
2021-06-09,"Яндекс подал иск к ФАС по делу о ""колдунщиках""",1,0,trend,up,business,YNDX
2021-06-09,"ФАС перенесла на 21 июля дело против ""Яндекса"" о поисковой выдаче",1,0,trend,up,russia,YNDX
2021-06-15,"""Яндекс"" намерен представить первые кредитные продукты в 2022 году",1,0,none,up,business,YNDX
2021-06-15,"""Яндекс"" намерен представить первые кредитные продукты в 2022 году",1,0,none,up,business,YNDX
2021-07-07,Romex Group намерена построить под Казанью логоцентры для Яндекса и Сбер.Логистики,0,0,none,neutral,business,YNDX
2021-07-07,Romex Group намерена построить под Казанью логоцентры для Яндекса и Сбер.Логистики,0,0,none,neutral,business,YNDX
2021-07-09,"""Яндекс"" выйдет из сделки по покупке KupiVIP",0,0,trend,neutral,business,YNDX
2021-08-16,"""Яндекс"" выделит логистику ""Яндекс.Маркета"" в отдельную компанию",0,0,none,neutral,business,YNDX
2021-08-24,"""Яндекс.Маркет"" планирует запустить fashion-сегмент до конца года",1,0,trend,up,business,YNDX
2021-09-06,"""Яндекс"" обжалует запрет судом поисковой выдачи ""Умного голосования""",-1,0,trend,down,russia,YNDX
2021-09-27,"Правительство выбрало ""Яндекс.Поиск"" для предустановки на гаджеты в РФ в 2022 г.",-1,0,none,down,russia,YNDX
2021-09-27,"Правительство выбрало ""Яндекс.Поиск"" для предустановки на гаджеты в РФ в 2022 г.",-1,0,none,down,russia,YNDX
2021-10-15,"""Яндекс.Новости"" начали маркировать СМИ-иноагентов",0,0,trend,neutral,russia,YNDX
2021-12-13,"Суд в Волгограде оштрафовал бастующих таксистов ""Яндекса""",0,0,none,neutral,russia,YNDX
2021-12-13,"Суд в Волгограде оштрафовал бастующих таксистов ""Яндекса""",0,0,none,neutral,russia,YNDX
2022-01-17,"""Яндекс"" договорился о мировой с инициаторами дела ""колдунщиков""",-1,0,trend,down,business,YNDX
2022-01-17,"""Яндекс"" договорился о мировой с инициаторами дела ""колдунщиков""",-1,0,trend,down,business,YNDX
2022-01-17,"""Яндекс"" договорился о мировой с инициаторами дела ""колдунщиков""",-1,0,trend,down,business,YNDX
2022-06-06,"Рынок акций РФ начал неделю с отката во главе с ""Яндексом"" из-за опасения новых санкций",1,0,none,up,business,YNDX
2022-06-06,"Рынок акций РФ начал неделю с отката во главе с ""Яндексом"" из-за опасения новых санкций",1,0,none,up,business,YNDX
2022-06-28,"ЕЭК и ""Яндекс"" договорились о политике удаления пиратских ссылок из поиска",-1,0,trend,down,digital,YNDX
2022-06-28,"ЕЭК и ""Яндекс"" договорились о политике удаления пиратских ссылок из поиска",-1,0,trend,down,digital,YNDX
2022-06-28,"ЕЭК и ""Яндекс"" договорились о политике удаления пиратских ссылок из поиска",-1,0,trend,down,digital,YNDX
2022-07-07,"Бывший гендиректор ""Яндекс Лавки"" Илья Красильщик объявлен в розыск",-1,0,trend,down,russia,YNDX
2022-07-07,"Рынок акций РФ в четверг подрос во главе с Ozon и ""Яндексом""",-1,0,trend,down,business,YNDX
2022-07-26,"Рынок акций РФ к вечеру сохраняет оптимизм во главе с ""Яндексом"" и Polymetal",-1,1,"trend,volatility",down_vol,business,YNDX
2022-07-26,"Рынок акций РФ к вечеру сохраняет оптимизм во главе с ""Яндексом"" и Polymetal",-1,1,"trend,volatility",down_vol,business,YNDX
2022-08-01,"Бывший управляющий директор ""Яндекса"" Худавердян подал в суд ЕС иск об отмене санкций",1,0,trend,up,world,YNDX
2022-08-01,"Бывший управляющий директор ""Яндекса"" Худавердян подал в суд ЕС иск об отмене санкций",1,0,trend,up,world,YNDX
2022-08-05,Возбуждено уголовное дело о разглашении данных пользователей Яндекс.Еды,1,0,trend,up,russia,YNDX
2022-08-24,"ФАС получила ходатайства от ""Яндекса"" и VK по сделке с обменом активами",1,0,none,up,business,YNDX
2022-08-25,"РКН заблокировал сайт The True Story, созданный экс-главой ""Яндекс.Новостей""",0,0,trend,neutral,digital,YNDX
2022-09-13,"""Яндекс"" увеличил долю выкупа конвертируемых облигаций почти до 99%",0,0,trend,neutral,business,YNDX
2022-11-25,"Котировки ""Яндекса"" перешли к росту на корпоративных новостях",-1,0,trend,down,russia,YNDX
2022-11-25,"""Яндекс"" планируют разделить на российский и международный бизнесы",-1,0,trend,down,business,YNDX
2022-11-28,"Роскомнадзор составил протокол на ""Образовательные технологии Яндекса""",1,1,volatility,up_vol,digital,YNDX
2022-11-28,"Роскомнадзор составил протокол на ""Образовательные технологии Яндекса""",1,1,volatility,up_vol,digital,YNDX
2023-01-04,"Рынок акций РФ утром поднялся к 2180п по индексу МосБиржи во главе с ""Яндексом""",0,0,none,neutral,business,YNDX
2023-02-06,"""Яндекс""  устранил сбой в работе сервисов",-1,0,trend,down,russia,YNDX
2023-02-06,"""Яндекс"" сообщил о сбое в работе некоторых сервисов",-1,0,trend,down,russia,YNDX
2023-06-05,"Экс-руководитель ""Яндекс.Маркета"" с 1 июля возглавит Lamoda",1,0,trend,up,business,YNDX
2023-06-05,"Экс-руководитель ""Яндекс.Маркета"" с 1 июля возглавит Lamoda",1,0,trend,up,business,YNDX
2023-06-08,"Рынок акций превысил 2700п по индексу МосБиржи во главе с ""Яндексом""",1,0,trend,up,business,YNDX
2023-06-19,"""Яндекс"" откроет нейросеть YandexGPT для тестирования бизнес-заказчиками",0,0,none,neutral,russia,YNDX
2023-06-27,"Рынок акций РФ вырос во главе с ""Яндексом"" и металлургами в рамках коррекции",1,0,none,up,business,YNDX
2023-09-26,"ВТБ не ведет переговоры об обмене своей доли в Fortenova на акции ""Яндекса""",1,0,trend,up,business,YNDX
2023-10-10,Yandex N.V. не подавал документы о продаже российских активов в правкомиссию,0,1,"trend,volatility",neutral_vol,business,YNDX
2023-10-19,"Рынок акций РФ в четверг превысил 3255п по индексу МосБиржи во главе с  ""Яндексом""",1,0,none,up,business,YNDX
2023-11-14,Совет директоров Yandex N.V в ноябре может рассмотреть продажу всех активов в РФ,0,0,none,neutral,business,YNDX
2023-12-25,"ЦБ зарегистрировал выпуски обыкновенных акций и ""префов"" обоих типов МКАО ""Яндекс""",1,0,none,up,business,YNDX
2023-12-25,"ЦБ зарегистрировал выпуски обыкновенных акций и ""префов"" обоих типов МКАО ""Яндекс""",1,0,none,up,business,YNDX
2023-12-27,"МКАО ""Яндекс"" зарегистрировано в САР Калининградской области",0,0,trend,neutral,business,YNDX
2024-03-11,"""Яндекс"" подает заявление о листинге акций МКПАО на МосБирже",0,0,trend,neutral,business,YNDX
2024-03-11,"""Яндекс"" подает заявление о листинге акций МКПАО на МосБирже",0,0,trend,neutral,business,YNDX
2024-05-13,Нидерландская Yandex N.V. подала заявку на делистинг своих акций с Мосбиржи,0,0,none,neutral,business,YNDX
2024-05-13,Нидерландская Yandex N.V. подала заявку на делистинг своих акций с Мосбиржи,0,0,none,neutral,business,YNDX
